page 1	和平紀念與戰爭恐佈
page 10	私蓄婢女
page 10	意圖不軌
page 10	攔途截搶
page 10	傭婦作賊
page 10	西南學生赴省旅行
page 10	繁榮會定期開會
page 11	東江五縣民船營業之衰落
page 11	警隊圍捕兵匪大戰
page 11	勒收禾更放槍傷人
page 11	順德救濟院已定期改組成立原任院長梁廷任辭職由教育科長柳春榮接充
page 11	整理各區自治費訊
page 11	三水農民捕獲孖頭蛇
page 11	禁止運米出境佈告
page 11	增調軍隊駐防各地
page 11	晚造失收米價飛漲
page 11	撤銷兩種苛雜捐記
page 11	韓江民船疊遭匪劫
page 11	各江河道之匪患
page 14	主席報告
page 14	賀耀組講演土耳其不屈精神是民族復興的堅固基礎國家危急應抱犧牲決心
page 14	葉氏訓詞
page 14	居氏訓詞
page 14	我國司法界之創舉現任法官調京訓練被調者有十省共一百人葉楚槍居正均親蒞訓話
page 15	一澈底的統制政策
page 15	邊省采風錄介紹整個的察哈爾
page 15	張垣市面
page 15	北地胭脂
page 15	交通概況
page 15	統制中的德國新聞事業壹
