page 1	封鎖天津租界與英日糾紛
page 5	Ｘ艦砲擊中山小欖大　美國同仁醫院亦遭炮毀
page 5	省府決獎勵盡職保甲長改善待遇確定經費
page 5	省行籌設重慶衡陽分行
page 5	順德Ｘ軍換防中容奇Ｘ兵忽然戒嚴在容奇Ｘ警戒線內夜後七時不准外出
page 5	船舶登記
page 6	Ｘ犯鷹嶺又遭失敗
page 6	我掃蕩隊肅清殘Ｘ
page 6	龍翔之Ｘ昨移兩龍
page 6	連日我Ｘ間有炮戰
page 6	盛傳克復增城馬口
page 6	戰時價領手槍省府轉頒辦法
page 6	韓江潦漲沿江緊急準備救搶
page 6	潮安黨部舉行會報
page 6	中山沿海Ｘ艦略增
page 6	南番便衣隊最近活躍Ｘ軍被我便衣隊包圍痛擊
page 6	小北江沿岸設檢查所
page 6	裏水沙涌渡船頻被械劫
page 6	南海一區各鄉被劫
page 6	方之楨接任汕僑務長
page 6	粵發動廣大游擊戰製定游擊戰之要領頒發各區游擊司令遵照實施
page 6	游擊戰之要領
page 6	東北兩線我Ｘ軍情增城來客談最近戰事
page 7	出席人名單
page 7	主席開會詞
page 7	續辦圖書館
page 7	警當局大搜飛鏢場四人被控犯聚賭罪
page 7	學賑會女學團徵募慰勞信展期
page 7	廣州之Ｘ禁我貨物出口
page 7	利源東街截劫案疑犯劉文珠昨再提堂受傷華探尹文已殉職警方將控劉以謀殺罪
page 7	中大留港同學會執委昨開會議
page 7	港僑赴澳須注射防疫劑無醫生證明書不准登陸
page 7	諾貝爾賈乃錫明日乘艦赴星會晤法駐越南海陸空軍司令對英法殖民地防務有所商討
page 7	留港難民續減
page 7	周雍能接任廣東僑務處長
page 7	抗戰影展開幕
page 7	海壇輪仍赴閩
page 7	華人自動登記決本月底止截
page 7	商會同人大會決議繼續辦圖書館不遷移不擴充一仍舊貫定下月六日選舉新職員
page 8	觀審者益眾
page 8	華人傳譯員
page 8	即現首被告
page 8	報窮官晏道路士請撤銷蔡寶善報窮案因對一部份欠單發生疑問兩律師極力為債權人申辯
page 8	霍亂症預防法何甘堂昨晚播音演講
page 8	防止霍亂
page 8	無益之物
page 8	西醫生云
page 8	延醫注射
page 8	是為至要
page 8	北角建大貨倉貯存政府公物
page 8	贈送蔣委長像學賑會之募捐運動
page 8	追悼林芝圃續紀
page 8	林西河堂新職員昨就職並舉行國民公約宣誓禮
page 8	養中女校捐短衣三千套
page 8	澳兒童健康比賽
page 8	警署傳譯員與英警官索賄疑案續審俱樂部書記證明支百元之用途梁傑泉謂首被告為當日收銀人
page 10	南華會游藝部舉辦口琴班歡迎會員及其親友參加
page 10	第三屆德權鼎賽定期舉行抽籤馮維森報效季軍獎上訴委員會昨產生
page 10	昨晚三場乙組籃球戰績培英國際春風告捷
