page 1	張伯倫之雙重政策
page 4	廣九路員工昨開國民月會通過電呈最高領袖致敬
page 4	林芝圃追悼會昨日下午一時舉行
page 4	四邑工商總局繼續沿門勸捐
page 4	抗戰攝影展覽
page 4	港汕貨運略增
page 4	巴士輾斃老人陪審員認死者死于意外
page 4	會今開同人大會圖書館問題將付討論大部份值理贊成續辦及擴充提議停辦人將自動取銷提案
page 5	虎棖明正典刑
page 5	三江守衛加強
page 5	李福林組新五軍近訊中止南洋慰僑之行
page 5	潮汕沿海之防備步步為營統一指揮形勢又復和緩人民多已返市
page 5	聯運
page 5	沿海
page 5	疏散
page 5	Ｘ方汽艇又窺中山鰽步中新海面Ｘ艦未去
page 5	鄧龍光嘉獎電
page 5	學校遷安全地
page 5	外國輪船照常航行福州海澄輪由汕開往
page 5	河南電力分廠爆炸慘劇Ｘ技師機工死七八人重傷數人
page 5	我軍馮白駒部反攻瓊州衝入南門車站Ｘ軍增援將再有大戰發生Ｘ艦艇侵擾舖前被我擊退
page 5	反攻瓊州
page 5	Ｘ擾舖前
page 5	東北兩路戰情我三路襲福和衝入墟內新街附近龍口我已奪回
page 5	東路
page 5	北路
page 5	省當局關懷農事籌設耕牛供給
page 5	梧州歌女慰問受傷將士
page 5	韶州振分會振卹被炸災黎
page 5	廣州灣積極救濟義民增設收容所
page 5	深圳槍決搶匪
page 5	我游擊隊夜襲馬口
page 5	漫畫宣傳隊赴各地展覽
page 5	新會三江戰事續訊禍鄉漢奸已明正典刑三江形勢雖緊張鄉內地方仍安謐鄧龍光嘉獎忠勇抗戰電文
page 6	張炎擬訂保衛高雷整個計劃呈准上峰後積極實施
page 6	古專員令飭各縣轉諭民眾奮起抗戰並准民眾密告不法官吏
page 6	清從線上肆
page 6	雷州統稅徵收改善辦法
page 6	惠陽舉行Ｘ貨檢舉運動續訊辦法經省動員會核准施行
page 6	蘇聯記者抵台盛贊民眾抗戰力強
page 6	順德運米續訊
page 6	江村民眾抗戰省府令建坊表揚
page 6	省府通令各縣嚴防散發抗Ｘ傳單
page 6	一個日本俘虜的訪問二
page 7	事件起因
page 7	失學難童救濟會聘用失業教師百餘名已通知于十五日以前報到否則由登記教師依次遞補
page 7	謁見會督
page 7	校董會議
page 7	起事翌日
page 7	決定離校
page 7	中青救護團決增編西江隊
page 7	食水限制昨已撤銷昨晨又得雨水二寸餘
page 7	駐港外艦一覽
page 7	英運輸艦返國
page 7	史柏俊遊澳洲
page 7	佛山輪將返港英方仍准Ｘ輪行走
page 7	警探大搜煙窟在港九各區破獲四十餘間拘嫌疑犯數十人解署究辦
page 7	設店騙貨兩犯各處徒刑四月
page 7	拔萃學生向校董會報告學潮發生之經過該台人無充學生長資格
page 8	青年會演虱戲
page 8	粵教廳通過立案僑校攷試日期定本月廿六日開攷教廳派員到校監視
page 8	陳述案由
page 8	項副幫辦
page 8	英副幫辦義　士勒索疑案公審英警官被控勒索此為第一次律政司維逸述此案發和經過
page 8	黎明之前留港劇人將聯合公演
page 8	商于律師
page 8	無可奈何
page 8	許湞陽被舉行為榮譽學會會員
page 8	中大服務團積極進行募捐
page 8	據史氏謂
page 8	國際紅十字會最近在華工作該會秘書史葛脫之報告
page 8	　英開慈善賣物會在國外為祖國籌款賣物會最有效港婦慰分會決徵募珍品義賣
page 10	公開水球聯賽參加者已有五隊決定本月廿六日開始舉行
page 10	男籃球乙組入圍賽今夕有三場舉行次場勵行對國際有劇戰
page 10	南華會友足球展期止截報名田徑班決於今日止截
page 10	鐘聲與域多利明日游泳對抗假域多利場舉行
page 10	心嘉杯及雲衢杯小型足球賽消息
page 10	南華南征足球隊五比三敗於南圻甲馮李兩將受傷影響實力
