page 1	國幣粵幣比率之商榷
page 7	醫官作供
page 7	證明死者
page 7	道窄車多
page 7	英紹雄王應榆今晨可抵港黃麟書亦同輪南返
page 7	英軍隊長因病告退
page 7	印警毆雪糕小販西人仗義作証
page 7	袁帶昨由省來港
page 7	六船員遇險獲救
page 7	新鈔票由美運粵
page 7	美記者旅行成績在聖佐治樓展覽
page 7	颶風向廣州灣吹去本港危險時期已過昨午三時有風翼經過本港七號風球於下午五時除下
page 8	死者芳名
page 8	可憐身世
page 8	同居
page 8	談話錄後
page 8	先行返日
page 8	日政府注意我華南近情河相達夫奉召回國報告一切
page 8	設法挑撥
page 8	結識暴客
page 8	懷璧賣禍
page 8	旅　商請粵府早撤苛捐
page 8	五人意外受重傷
page 8	捐助救傷隊者題名
page 8	東院萬善緣之進行
page 8	象齒焚身新亞酒店野花遭折案兇手目的在金飾初試毒手死者不覺故佈疑陣留書談情
page 10	本港雜貨之市情
page 10	刑名案定期開審
page 10	華商會圖書館會議
page 10	行使偽幣犯入獄
page 10	大膽賊入兵房行竊
page 10	赴廈研經團昨返港
page 10	揚光公司拍片近狀
page 10	冒名行使半價船票
page 10	繁榮會會議展期
page 11	各江潦漲另訊
page 11	偵察機沙灣降落
page 11	海晏區民請撤分局
page 11	廣州市參議員建議整理廣州市政之規劃貳
page 11	十師二十旅教導團昨由開抵江調往中山小欖駐防
page 11	占涌抗繳學穀傳訊
page 11	各界開會迎夏楚中
page 11	容桂駐軍後之物價
page 11	廳令取消地稅附加
page 11	高要四圍崩潰慘災
page 14	颶風過閩東山海嘯災情奇重人口死亡百餘名各項損失百餘萬詔安災況亦極重
page 14	日擴大華北警權田尻飛滬晤川樾陳商平津青濟警察指揮如一
page 14	阿皇在赴英輪次發表衛國抗敵之回憶錄阿國山高林密意空軍收效甚微嗣意軍用毒氣進攻阿軍始失敗
page 15	環繞中歐和巴爾幹的國際糾紛一
page 15	大同雨雹成災新州煤礦被淹數百工人盡葬於煤窯鐵路橋樑被沖斷三處
page 15	自民二十以來鄂省首次豐收全省收穫在九成以上江水忽激漲情形堪虞
page 15	毛澤東等仍企圖北竄寧夏目的在突破國軍包圍現暫守三邊為根據地
