page 1	浙東勝利之意義
page 3	美國軍委會宣佈陸軍擴充計劃包括強迫軍事訓練制預算每年約需費六十萬萬金元
page 3	陳嘉庚演講南洋僑情
page 3	現任法官繼續調訓
page 3	巴拿馬地峽發生三種謠言其實絕無根據
page 3	英展長海軍封鎖線極力阻物資從西運入德意德空軍又大舉襲英國各地
page 5	順德我軍力戰日偽
page 5	新鶴方面仍有激戰
page 5	華振中巡前線會商出擊潮安劇戰我攻進池湖日偽大舉犯沙溪頭被擊退潮澄日備戰忙迫陰謀犯閩
page 5	我攻潮安池湖劇戰
page 5	日軍犯沙溪頭鎩羽
page 5	蔣委員長關懷廣東糧食允撥七百五十萬救濟余漢謀日前由渝返粵
page 5	西南商人被迫組偽商會富商何某不作傀儡
page 5	中順日偽焚　村向農民勒征禾票
page 5	日分隊長被擒
page 5	南海貨船被劫
page 5	寶安日軍經我痛剿後昨又調騎兵數百增防深圳沙井偽軍四出搶糧行同盜賊港沙交通新辦法定今日實行
page 5	我軍英勇外人讚歎
page 5	廣州日偽增援深圳
page 5	沙井偽軍出擾新橋
page 5	日圖在后海築機場
page 5	沙魚涌之貨運時間
page 5	新鶴路昨日戰事仍烈我在馬山佈陣控制佛子坳日軍增援並派機助戰均不得逞偽軍駐馬騮洲向船渡勒收行水
page 6	四邑米價回降後各項貨物市情冷淡雜糧市情最弱洋貨價亦跌恩平早穀豐收價格　低落
page 6	粵戰時行政在邁進中經濟方面成就較多其他亦有長星進步救濟工作列為要政加緊推進文化事業
page 6	政治方面
page 6	第四戰區司令部嚴禁違法征僱船伕不得任意封扣虐待以示軍民合作精神
page 6	東江各地發現牛瘟
page 6	中大四院遷粵文醫理化三院仍留滇
page 6	大批輔幣到韶
page 6	日機飛襲清遠
page 6	粵省撙節汽油
page 6	部隊番號必須保持機密不得登啟事洩漏於外
page 6	日對汪記失望之餘圖在華南造成第三勢力與汪不發生關係且可反汪表面仍高呼抗日以為掩護
page 7	非官議員提出質問
page 7	政府解釋疏散步驟
page 7	代督史美致詞釋辯
page 7	諾爾頓抵曼谷短期內可到港履新
page 7	婦女團體催繳傷友善款
page 7	疏散撥款遭受反對
page 7	各項議案一致通過
page 7	追加政費皆獲通過
page 7	立法局非官議員強烈反對本港疏散市民辦法懂注意極少數之英籍婦孺已屬不公餘人未蒙料理反要負擔疏散者消費萬元疏散費撥支案遭否決未獲通過
page 8	禁運理由不便發表
page 8	我覓得出日新路線
page 8	廠商聯會會議決參加閩省貨展會十七紀念捐款千元
page 8	去年全港商務調查二建造首飾生意一落千丈柴米鋼鐵　行多獲厚利
page 8	疏散赴菲之英籍婦孺一部返港在菲經過不允發表
page 8	沙籐行
page 8	南北行
page 8	火柴行
page 8	茶葉行
page 8	張似旭追悼會下星期一舉行
page 8	基督教慰勞團昨歡送胡翼雲
page 8	七七售花捐款昨收得百餘元
page 8	胡藻斌畫展明日上午開幕
page 8	香港亦不易居牧業價值暴漲應繳差餉額新紀錄租值之昂為向所罕見
page 8	車輛失事統計去週死二人傷四十三人
page 8	一住客獲保障對主要求他　失敗
page 8	省賑會港辦事處護送僑胞返粵旅費自備每人需國幣百元分批出發每批暫定五十人
page 8	分批出發
page 8	登記地點
page 8	港海關緝獲三批敵貨高級法庭宣判全部充公
page 8	失蹤葡童尋回
page 8	塌牆壓斃一人
page 8	教聯會主辦中學生論文賽八月一日開始頒獎
page 8	本港商務統制專員拒發表禁茶出口理由躉存本港國茶聞有十餘萬箱中國茶葉公司已定處置辦法
page 10	國際棒球賽參加者有五隊賽程下週方可編訂週末秩序略有更改
page 10	今夕乙籃精彩戰康元巧遇勵行培英出擊精勵
page 10	昨日夏令籃球僑星輕取鷺星
page 10	高級學籃糾紛案九龍將再上訴最高委員會允接編處理
