page 1	論法國之獨裁
page 7	中國文協會巡迴演講成績演講廿四次聽者數千人
page 7	無主槍械充公
page 7	輔助警察維持治安華商會擬組織保衛團託華人代表轉請當局予以攷慮如獲准許並請發給各團員鎗枝組織辦法與日前之自衛團不同
page 8	華人登記二百餘人
page 8	德奧籍民昨日被捕
page 8	疏散命令何時撤銷
page 8	政府援助義軍眷屬
page 8	廣州灣難民營疏散
page 8	疏散住客租約問題
page 8	港府發表重要談話
page 8	赴菲婦孺將轉澳洲
page 8	節建儲券首期勸銷成績總數接近二十萬元基督教團體之報告
page 8	醫界救國捐款又募得七百餘元
page 8	少年跳樓慘死
page 8	女團體徵求傷友結束得款廿五萬元參加人數共廿萬名款由中行匯渝總社
page 8	誤報塌屋虛驚
page 8	賑聯會舉辦七七賣花素食成績昨收港幣一千七百餘元
page 8	龍虎灘海面又一貨艇被劫
page 8	劫案詳臬
page 8	揮斧傷人血案被告詳臬定讞
page 8	港府無蔬散英男子意德　籍猶人被捕送入集中營政府發表談話糾正社會視聽廣州灣難民將來港轉入內地
page 10	夏令籃球開鑼戲南洋旗開得勝卅九比卅三挫華僑初級洪流壓倒紅鷹
page 10	今夕公開籃球賽甲組華僑迎擊星島另一場銀紅戰培英乙組記者對抗悠悠
page 10	連日向足球總會登記願充下屆球證者頗多奇勒不能繼任下屆球證
page 10	香港對西貢之埠之埠際賽
page 10	因
page 10	九龍學籃戰訊
page 10	南華會智育部舉辦暑期國語班
page 10	青支會球賽消息
