page 1	急轉直下之英蘇法談判
page 6	伍觀淇在粵北籌設禺北義民墾殖區該墾殖區決於九月一日成立並組難童學校及農民貸款處
page 6	開平周老太太抗戰獲獎古鼎華鄧龍光均給獎狀
page 6	新會縣府推動戰時工作戰工隊下鄉策動民眾
page 6	粵北五縣提前依限禁絕煙毒各縣煙民限本年九月十七戒絕禁煙會建議健全各縣禁煙機構
page 6	五縣提前禁絕煙毒
page 6	健全各縣禁漸機構
page 6	高雷欽廉形勢緊張Ｘ機Ｘ艦頻到窺襲茂名縣城首次被Ｘ機轟炸Ｘ艦交織往來窺伺我沿岸
page 7	強制服役法昨已開始實施
page 7	Ｘ又焚劫漁船
page 7	新達賴將登位王逸博士將返藏觀禮王不欲德人赴藏作政治活動謂西藏始終為一個和平區域
page 7	港青年獻劍團月內赴渝謁蔣
page 7	九龍關新稅費
page 7	又破獲兩賭局
page 7	粵教育廳開設臨時中學
page 7	港大醫科畢業生亟應回國服務現留港執業者竟達百分之九十港大當局亦望彼等能為效力
page 7	華商總會昨議決八一三設獻金台十座分設各大戲院酒家利便僑胞捐輸已推出委員多人為獻金台管理員
page 8	茲將詳情分述如下
page 8	自然嚴重
page 8	登台作證
page 8	被告用意
page 8	搖首示意
page 8	劉氏之款
page 8	劫艇殺人案詳臬定讞各被告直認行劫不諱惟堅不認有殺人行為
page 8	蔑利作供
page 8	泊有小艇
page 8	禺北賑災會再撥萬八千元散賑托遊擊司令伍觀淇代辦另捐二千元慰勞遊擊隊
page 8	完全遮蓋
page 8	交通當局募運輸車司機
page 8	女青年會防空班將開課
page 8	衛生局之議案
page 8	港滬埠際泳賽前奏全港公開游泳舉行預賽檢討實力以便遴選出席
page 8	南華三次水藝本月十日舉行
page 8	青支水藝成績
page 8	昨晚公開水球賽鐘聲擊敗南華域多利對華人發生糾紛
page 8	夏令籃球賽今有兩場舉行仿中對警察僑星戰虹虹
page 8	球怪今出發南征
page 8	甘乃明個人畫展
page 8	高級法庭昨提審英警官被控勒索案次被告阮兆基獲赦為政府證人阮力證義華士有串同勒索行為
