page 1	川局安謐中之一般謠傳
page 4	毅華社選出職員
page 4	上海國際籃球美國保持錦標中國隊敗得可惜第三次戰比賽完畢各得卅一延長五分外三三比三六失敗
page 5	職權不能統一
page 5	黃氏辭職經過
page 5	組特派員公署
page 5	黃分處長談話
page 5	五百萬水利公債決用國幣發行省府將於日內批示
page 5	鹽商昨日聯席會議推定代表晉京請願唐萱允改善點驗躉鹽手續梅菉連縣鹽商通電呼籲
page 5	黃主席白雲山居訪問訪昨款出席省務會議主席由王應榆代理
page 5	省府昨召會議審查三年計劃
page 5	省府令汕商會調查銅元之私運某人勾結奸商走私
page 5	印花煙酒局再召菸商訂稅額限一星期內答覆
page 5	最近所得各方消息大學教授研究結果贊同爆炸對灘馳禁之近訊清明馳禁恐難實現
page 5	　平發生毒鹽案經各方化驗案情大白並無毒質發現即將鹽廠揭封
page 5	粵省禁煙機關根本改組禁煙督察分處及禁煙監督一律裁撤本省禁　行政由中央派大員主持將成立特派員公署統一職權李基鴻兼程南下省市禁煙會亦為特派員管轄
page 6	釀酒業四請撤銷加二　防費現奉財部批令仍交酒稅局核　釀酒業昨再呈汪宗呼籲
page 6	永禁征收租捐省府批覆省商會
page 6	行商申報營業稅連日之情形
page 6	函各行徵集查印花苛擾事實
page 6	復活節廣九路增開夜車
page 6	英大使來粵排定拜會程序
page 6	民族渡案昨開審死難家屬向法院泣訴並派代表謁黃主席
page 6	死難親屬聯至法院
page 6	推派代表謁黃主席
page 6	呈省府法院之原呈
page 6	法院審訊情形略誌
page 6	民族渡死難家屬
page 6	南郊外之匪患捕匪與防匪近訊
page 6	汕頭南北港公會
page 6	曾市長養甫原定十六日由滬飛粵
page 6	前四十七師師長兼總指揮上官雲相偕四十七師參謀長張潤生
page 6	法國遠東艦隊司令愛思德華
page 6	漢口華南實業考察團十五晚赴桂係乘廣琥車至衡州轉桂林
page 6	考試縣長
page 6	十六日廣州市新聞記者公會秘書處通告全體會員
page 6	代售民食會米以劣米頂換被罰民食會之佈告
page 6	　製皮業勞資糾紛去解決之途徑尚遠各持理由各走極端
page 7	軍中大演習第二日敵機頻頻越境偵察前夜東林馬海峽發現敵艦訪軍方面施行更嚴重警備
page 7	敵機偵察頻頻出動
page 7	紅軍警備雄師開拔
page 7	偵察機隊窺探敵情
page 7	美澳間航空郵件將以本港為轉運站
page 7	又是一磅加一磅
page 7	鄭鐵如簡東浦返港談華南米業公司下月成立已派員調查湘贛各地米產情形目的在澈底解決粵省糧食恐慌
page 7	紅軍兵士驟染疫症
page 7	敵艦活躍燈火熄滅
page 7	備戰忙碌迄未火併
page 7	西環海面大利瑞生兩輪相撞大利船頭受傷海水湧入兩輪均折回本港未開行
page 7	兩輪相撞
page 7	折回本港
page 7	船主談話
page 7	中村高雄勸港日僑改變對華態度中日外交不順利日僑應分負其責今後宜順應時勢澈悟過去之非是
page 8	開航日期
page 8	赴菲須知
page 8	公告國人
page 8	羞人答答煙霞客被控窩姦女侍十四歲姑娘述被姦經過開房之意義本未分明且貪一百卅元故不堅拒
page 8	淪為女侍
page 8	旅店開房
page 8	如此如此
page 8	東窗事發
page 8	姦罪註銷
page 8	曾入中學
page 8	為利所誘
page 8	張彭春抵港昨晚演講華北局面綏戰實為國人團結守土之表示經此一役我在國際地位亦提高
page 8	陳天嘯今日南下將在港開個展會
page 8	九龍關金伸算法
page 8	澳馬會定期賽馬
page 8	寶慶坊血案詳臬
page 8	港漢無線電話廿日通話每次收費六元二角
page 8	上官雲相
page 8	依士地華
page 8	渣比
page 8	水澤孝策
page 8	王泉笙
page 8	環遊世界壯舉華商人乘民航機三少年駕小帆船
page 8	菲商人
page 8	三少年
page 8	誤殺案一犯入獄
page 8	雅麗氏醫院年會那打素新院年底可落成但尚欠建築費三萬餘元
page 8	國營招商局實行增闢廈菲　線海亭輪定廿七日開航赴菲華南航線將改調他輪補充
page 10	多拉都機昨遲到
page 10	華商會值理月會
page 10	報告事項
page 10	臨時事項
page 10	老苦力深夜自縊
page 10	初級法庭案彙誌
page 10	拐帶
page 10	勒索
page 10	潛回
page 10	打架
page 10	益臣輪私煙案昨日判決水手林敬入獄一年兼罰款
page 11	潮梅緝私分處請撥艦分駐緝私
page 11	史延程巡抵汕頭
page 11	胡銘藻晉京述職
page 11	覃縣長昨赴京受訓
page 11	信用放款不日舉辦
page 11	江門產價日趨低落
page 11	三水蘆苞米機閉門失款
page 11	開始發給胡墓地價
page 11	更夫被殺兇手在逃
page 11	汽車失慎輾斃乞婦
page 11	聯鄉主任先後到縣
page 11	將改選鄉鎮保甲長
page 11	監所協進會改組訊
page 11	各聯鄉辦事處成立
page 11	收回各沙被霸田畝
page 11	開平匪夜劫住戶斃婦人
page 11	捕獲劫殺油販疑兇
page 11	汽車傾覆撞傷縣長
page 11	捕獲劫殺案之兇犯
page 11	擊退圖攻炮樓匪黨
page 11	營稅申報限期已滿汕市商號仍未申報市商會開會決定進行請求各項步驟汕營稅局對申報展期批示礙難照准
page 11	汕市各界籌舉行防空大演習
page 14	劉主席電
page 14	省賑會電
page 14	太平洋航空爭霸戰一
page 14	空軍的威力
page 14	庚子烈士唐才常等公墓落成汪撰碑文歷述舉義經過
page 14	四川旱災空前嚴重劉主席電請中央迅撥鉅款省賑會亦電政院賑會呼籲
page 15	關於綏遠戰爭的日本論調
page 15	開場白
page 15	日本言論摘抄
page 15	三尾聲
page 15	冀東偽組織濫發偽鈔偽幣既無定額亦不兌現強迫使用市面紛擾
