page 1	五中全會閉幕以後
page 8	新界難三月來狀況二賑聯會救濟組報告
page 8	財部駐港辦事處收發員徐堅改控盜竊函件罪函內有古巴華僑匯票一張該票值美金六千二百餘元
page 8	修改罪名
page 8	財部免徵番薯米轉口稅
page 8	宣述案由
page 8	賄賂李曹
page 8	王巽之供
page 8	一人在逃
page 8	冼律師問
page 8	具保問題
page 8	中央頒佈非常時期專門人員服務條例意　外專家亦須向國內登記必要時指令擔任抗戰工作
page 10	偉大的中國前方有抗戰健兒後方有建國英雄試驗所中解決工業問題拔佳鞋王需要中國皮革
page 10	拔佳皮鞋全部國貨
page 10	英雄魏嵒壽創立酒精廠
page 10	從迷信紙到印刷紙
page 10	Ｘ艦騷擾泉海陰謀搜查各國商輪阻我海外交通新正以來頻頻試探企圖登陸
page 10	答客問給你三部書
page 10	有系統仿造樹機器工業
page 10	法名　　李蒙夫婦離桂縱談來華觀感用眼睛證明中國是統一了政府的進步必得最後勝利
page 11	華員會定期舉辦旅行地點大霧山
page 11	廣州興華中學籃球隊昨回港在澳四戰三勝一負
page 11	省立體專座談會今假華僑學院舉行
page 11	記者體特會積極發展十項運動昨舉行組長會議結果圓滿賑難杯排球賽今開代表會
