page 1	論節約救國
page 8	西人駕車輾傷路人
page 8	蕭吉珊訪晤蔣代表
page 8	謝作民將乘機飛京
page 8	招商局擬開闢中暹航線港分局長調查貨運情形旅暹僑胞多允極力協助
page 10	本月份刑名案所餘三宗再押候
page 10	駐港葡領慶祝國慶紀念日
page 10	颶風滯留東沙島
page 10	美領事住宅被竊失去銀物五百餘元
page 10	婦人被控藏紅丸官判詳臬定讞
page 10	當街強搶被警拘獲
page 10	少婦服毒自殺獲救
page 10	追討贍養費案押候
page 10	坭工墮車
page 10	東方各地時症報告
page 10	學海書樓講學日程
page 10	華探區成因病告退
page 10	魯警被控受賄案押候下星期六再訊
page 11	航商請濬勒竹河床
page 11	梅菉省營麻織廠舊職員奉令結束俟新人員到續辦
page 11	台山更換各公安局長員
page 11	雙十慶祝比賽龍艇
page 11	各區已推定候選人
page 11	船商聯請撤銷航捐
page 11	縣府附近發生劫案
page 11	捕獲誘拐鄉婦警察
page 11	陳村新墟發生火警
page 11	石龍火警焚舖一間
page 11	大良合安渡被匪劫
page 11	鎢業管理處不收東江鎢礦礦業公會之函請
page 11	番禺八區長聯　縣府撥助經常費
page 14	舞場梨核誤中日兵竟被認為侮辱當時日兵曾放步哨形勢嚴重小題大做此　大國之風
page 14	情勢嚴重甚於五年之前中日戰爭可免否耶甲午穀軍以來衝突之可以性未有逾於今日邁進中之中國已非日本所　輕易擊敗者炎
page 14	西南交通史上之重要一頁滇黔公路試車告成全程六百公里於四日內可到達再與他路　接可直達國內各省
page 15	鋪路養路
page 15	植樹工程
page 15	經費收支
page 15	事務一瞥
page 15	宋哲元告冀察同胞書全文對外決不徒唱高調對內悉以民意為準
page 15	以全人道
page 15	向主和平
page 15	相見以誠
page 15	滇公路建設計劃續本年底完成繼修各省道土路並擴大縣道建築已分別動工
