page 1	日本南進野心未已
page 7	夏季馬票今日下午開彩首獎可望得十四萬元今日賽馬成績之蠡測
page 7	聖約翰校友會明晚宴朱友漁
page 7	又一批英僑奉派參加兵役
page 7	聯軍徵募船員係由航商代辦
page 7	中山僑商救濟考試鄉難民
page 7	印度將禁多種港貨進口
page 7	順德僑團救鄉會議縣長劉超常亦赴會並任主席馬師曾薛覺先發起演劇籌賑
page 7	地中海情勢緊張中意國郵船突奉令停航集中意國東北部海港再定行止本港某荷輪亦忽奉令停止開滬
page 8	會員人數
page 8	來華服務
page 8	一致奮鬥
page 8	投票辦法
page 8	衛生建設
page 8	意國參戰必敗赫德拜窩特氏之評論
page 8	本港昨紀念英國慶日政府機關英商行休假一天英文學校聯合舉行慶祝會
page 8	本港分會主席賀函
page 8	覆舟獲救老婦昨在醫院殞命
page 8	元朗擒獲一匪探目槍傷足部
page 8	英文學校聯合慶祝
page 8	富隆樓茶客欲作飽鬼飽呼一頓跳樓自殺受傷甚重送院救治
page 8	飽吃一頓
page 8	跳樓自殺
page 8	重傷入院
page 8	本港各童軍旅今日舉行技能錦票賽比賽地點在拔萃書院球場因環境關係取銷露營比賽
page 8	錦標比賽
page 8	比賽則例
page 8	智識一項
page 8	比賽項目
page 8	貨艇三艘遇盜兩艘被洗劫一艘脫險
page 8	長虹歌詠團下月公開演奏為戰地失學青年籌款
page 8	為英帝國祈禱上帝
page 8	中華聖公會召開四省教區大會
page 8	三文化協會舉辦現代畫展開始徵集名家作品
page 8	比賽隊伍
page 8	露營比賽
page 8	發給獎狀
page 8	金字繡以得獎年號
page 8	中華中學放影防癆影片
page 8	七賊械劫木屋
page 8	奮興會今　演講
page 8	民間畫會畫展訊
page 8	國聯同志會港會長博沙主張改善國聯組織應以人口比例而規定代表數額國聯會應有實際的行動與效能
page 10	今日棒球聯賽中華迎戰香港下午二時一刻會師
page 10	東方南征足球隊一行十六人昨晨出發印度之行抵星後方能決定
page 10	公開籃球賽今夕三場戰事甲組鐘聲戰華僑
page 10	九龍區學界籃球今日舉行頒獎加插三場表演賽
page 10	籃球聯會議決重要提案多項
page 10	報告事項
page 10	討論事項
page 10	澳培正籃球隊月底率師犯港擬定比賽三場
