page 1	密雲不雨之歐局
page 3	波公使返國履新
page 3	尼赫魯昨飛蓉
page 3	何部長在紀念週報告最近三月來軍事概況一並說到Ｘ人潰敗的因素
page 3	Ｘ新閣昨成立阿部舉行親任式Ｘ輿論對新閣印象不佳且新閣與軍部毫無關係
page 4	軍事演習
page 4	數十長虹
page 4	竄出港外
page 4	放夷燒彈
page 4	留營難民續增校前週增百三十餘人
page 4	紀念記者節勞緯孟將演講
page 4	昨天氣奇熱溫度高至九十三
page 4	私藏電機疑犯押候下月再審
page 4	　設過海水喉運水量較舊喉多兩倍
page 4	各界籌備歡迎暹羅華僑代表
page 4	前夜之防空大演習探射燈交織空際密如蛛網假想敵機入市空　所遁形
page 5	Ｘ軍宣佈封鎖寶安
page 5	大鏟海面Ｘ艦動態
page 5	迫令各鄉組自警團
page 5	大亞灣Ｘ再犯澳頭
page 5	南頭之Ｘ增兵防守
page 5	省振會救濟難童機工撥運米石舉辦平糶
page 5	收容難童
page 5	救濟機工
page 5	粵漢路戰事劇烈Ｘ增兵守新街
page 5	當局規定克復區域民間偽鈔准免沒收限七日內自動呈繳候理法幣加蓋小印以防資Ｘ
page 5	偽鈔處理辦法
page 5	防止法幣資Ｘ
page 5	僑民通訊處組織規程已定
page 5	救濟粵北鹽荒分電各縣購領
page 5	粵綏署訂定肅清奸匪辦法注意清絕盜源
page 5	我軍襲擊潮安在筆架山一帶激戰
page 5	潮安之戰
page 5	桑浦之戰
page 5	偽軍組織
page 5	我軍反攻江會仍在劇戰中Ｘ軍調廣州增援我乘機牽制睦洲偽軍設卡勒收船艇護費三埠輪渡繞道航行不甘被勒
page 5	三江龍泉我軍增加
page 5	睦洲偽軍設卡抽費
page 5	Ｘ機連日飛擾中山
page 5	粵對外交通依然暢達
page 5	Ｘ軍昨同大亞灣登陸並宣佈封鎖我邊界交通又令寶安各鄉抽派壯丁組織偽自警團
page 6	健全保甲機構開始實施
page 6	八區召開軍訓會議指示各縣中心工作
page 6	中新兩縣搜集抗戰史料
page 6	信平輪炸沉後撈獲屍體卅餘未獲者仍有　餘具
page 6	台山各界慰勞三江陸洲團隊
page 6	請領輔幣流通五邑金融
page 6	粵北各縣動員會已成立
page 6	第二期抗戰後方農業建設的動向一
page 6	新會動員會擴大組織抗Ｘ後援會奉令撤銷
page 6	台山昨舉行自衛會議
page 7	深圳之Ｘ並未撤退
page 7	擴大封鎖本港計劃
page 7	蔬菜來源大受打擊
page 7	寶安小輪昨又停航
page 7	商賑會演劇銷票已達萬元
page 7	最後勝利為期不過僑胞應多購救國公債第二期債息定今日開派獻恩運動希望繼推行
page 7	菲紅十字會極力照料逃難婦孺根據國際互助精神訂定臨時服務大綱
page 7	金銀場獻巨金孔祥熙復電嘉勉
page 7	中青救護團昨召開談話會伍豔莊提議慨捐義款
page 7	車輛失事統計去週死四人傷四十人
page 7	港防軍今日開始演習參加各種軍隊凡數千名地點由筲箕灣至薄扶林
page 7	戲院職工總會下屆職員選出
page 7	象棋六名手奪鼎大決賽採循環制明晚起舉行
page 7	汽車墮落深坑英商靴士特慘死
page 7	廣州灣生豬源源運港
page 7	青龍頭海面五賊騎劫貨艇榜人幸脫險昨日返港財物損失約值二千元
page 7	深圳之Ｘ並未撤退更擴大封鎖本港計劃昨在大亞灣登陸阻鄉人運菜來港大亞灣至南頭沿岸集Ｘ萬五千人
page 8	政記公司輪被徵用
page 8	自衛團籌委昨開會
page 8	女防空會戰時準備
page 8	本港警察實力雄厚
page 8	各國商船航運近況
page 8	劫船殺人案昨續審各被告否認有殺人行為力謂警探曾以酷刑迫招
page 8	落案之際
page 8	謀殺李洪
page 8	夾余手指
page 8	此乃我錯
page 8	否　毆打
page 8	太子道柴店老夥伴被毆斃因一柴枝弄成慘劇
page 8	劫匪光顧難民持械入屋搜掠一空
page 8	製紅丸案詳臬
page 8	知用入學試揭曉
page 8	加拿大籃球隊昨抵港4353首戰挫南華今夕出戰星島隊
page 8	昨夕智取南華
page 8	加隊司理談話
page 8	抵港者僅八人
page 8	今晚出戰星島
page 8	引行全部戰績
page 8	客軍名單一覽
page 8	南遊日記廿七
page 8	橡皮游泳床定期三日抽獎
page 8	南征隊轉戰萬隆三比一勝意尼冠軍隊
page 8	港　昨下緊急令即日徵用義軍五十名政記公司茂利輪亦已被徵用自衛團改期開街坊代表大會
