page 1	　絕交後之時局
page 8	國醫救護隊董事會
page 8	反對運鹽硝赴日某輪會員解職
page 8	婦人被控行騙
page 8	民平輪誤　案疑犯羅自獲釋
page 8	唐紹儀留滬係養病外傳種種謠言實無稽之談
page 8	各區年貨攤尚未開市攤位牌照已領取一空
page 8	昨發生兩火警
page 8	紅丸案童犯送兒工院習藝
page 8	女青年會義學頒獎
page 8	必打街發生竊案
page 8	輪船赴暹免檢驗
page 8	華商總會勸告僑胞節省過年耗費購公債漢紅十會函港婦女會請續寄捐款港紅十字會收到美國募集大批藥品
page 10	督署開跳舞會歡接中西名流
page 10	新任園林局長富立班斯抵港
page 10	青年會舉行音樂禮拜
page 10	漢文中學頒獎獲獎學生卅餘名
page 10	李馬聯婚
page 10	山頂醫院暫難復辦必要時或恢復一部份作留產院
