page 1	接二連三之不幸事件
page 8	幾間蟀獵廠繁榮了澳門酒店客棧住滿蟀友歇業妓院均重張旗鼓
page 8	澳華商決擴大慶祝雙十節
page 8	華人機器會會議議決募款　　祝蔣壽
page 8	奇理賓譚防範偽幣之問題
page 8	紅丸毒流行日烈設戒紅丸療治所實不容緩每年經費預算僅需三千元
page 8	警察學堂訪問記因警員國籍的不同受訓時間也有差別
page 8	中安輪女客投海
page 8	將無援者
page 8	瓊崖生牛已停止運港因捐稅太重成本高貴農業社請撤銷出口捐
page 10	本港麻雀店驟增廣州禁賭之影響
page 10	內河輪勞資糾紛尚未有解決辦法
page 10	截劫案獲兩疑犯
page 10	警察副監銷假視事
page 10	孔教學院昨日講學
page 10	中央演國發技術團
page 10	改良街巷之問題紳界認暫難舉行
page 11	江省全興渡之火警施救迅速不致成災
page 11	修圍工人槍擊疾駛小輪
page 11	河村海面匪徒劫船
page 11	舉行禁煙賭宣傳週
page 11	樂從特警隊已裁撤
page 11	地稅借據准納稅款
page 11	下月起撤瓜菜秤捐
page 11	佈告嚴禁勒索船戶
page 11	惠汕路建築平山橋
page 11	順德容奇車伕罷工原因
page 11	汕尾設漁民借款所
page 11	四路軍總政訓處擬定軍人與新生活宣傳綱要分發各師實施宣傳
page 11	縣府已撤銷偵緝隊
page 11	台山海晏風水災之請賑七區長昨到省請賑日內將到港開會議施賑分治本治標法
page 14	齊諾術夫等被處決惹起俄社會大衝動齊諾維夫托洛茨基史達林係俄革命後三巨頭洎史達林提倡一國社會主義齊托二人始失勢
page 14	日本實業之新傾向農村化為工村二大工業漸向地方分散
page 14	由田園工廠轉為家內工業
page 14	美國哈伯雜誌揭破日侵菲島陰謀美國對菲律濱之前門岷尼拉加以把守時日人則由菲島之後門納卯抄襲利用日菲有種族上之關係為分化菲人之利器日本侵略菲島不取急進政策以經濟方法逐步進襲
page 15	革命藝術家梁鼎銘訪問記身材不高頗瘦是和尚頭太太很苗條而且很年輕
