page 2	孫文兵法
page 6	愛爾蘭和約
page 6	波斯內閣辭職
page 6	加拿大限制東方人入境
page 6	英人處庚子賠款之議論
page 6	銀價
page 6	傳染症報告
page 7	軍廳擴充稅捐權限
page 7	外埠保險公司　店亦要繳保証金
page 7	招撫桂匪尚無把握
page 7	駐桂粵軍東下後之桂匪情形
page 7	再紀北伐軍分路入贛情形
page 7	勸陳炯明再出之滬　來電
page 7	東　大馬路之拉伕情形
page 7	瓊崖改省期成會之組織
page 7	五九日之國恥紀念
page 7	李奉藻不肯為輿論　屈
page 7	南寧輪因撞船扣留
page 7	以　英紙幣納稅
page 7	海關　　被劫
page 7	第三商更番訓練
page 7	第　師派隊填防石井
page 7	魏邦平犒兵
page 7	五權憲法起草之擱淺
page 7	瑣聞一束
