page 1	美議員主再提和議的透視
page 7	孫家哲母家奠
page 7	港九防空洞加緊建築九龍水渠可作避彈壕本港方面尚在試驗中
page 7	國民戲院
page 7	東方戲院
page 7	僑務委員會資助漁民義學
page 7	港府商得各銀行貸款商人購辦米石連日泰米大量運港此亦一因米商料港米價短期內必暴跌
page 8	賊船四艘截劫貨艇
page 8	榜人拒賊慘被轟斃
page 8	增派警輪巡邏海面
page 8	草地談心
page 8	強徒要脅
page 8	男女工人綠野談心四條大漢因羨生　危詞恫嚇奪取金飾警探馳救獲一疑犯
page 8	印　攷　　威流彈傷一路人
page 8	獲一疑犯
page 8	華僑中學響應節儲運動已募得國幣萬餘元
page 8	上海痘症流行來港旅客須受檢驗
page 8	羅明佑氏南渡視察海外電影事業
page 8	返韶僑胞獲得工作老弱義民歸國有待
page 8	九龍塘學校校舍落成典禮今日下午舉行
page 8	赤柱兵房附近發生謀殺疑案一男子倒斃面有傷痕
page 8	培英校長被控毆收租人證據不足無罪省　
page 8	巨劫案昨詳臬
page 8	三個海盜入獄
page 8	香港英國國民反對強制疏散委員會昨日下午六時假座半島酒店玫瑰廳舉行會議
page 8	劫艇案昨提堂下月二日正式審訊
page 8	展覽品物
page 8	是賣物場
page 8	一個城樓
page 8	國貨展覽會巡禮
page 8	海盜日益猖獗又劫兩大貨艇一榜人拼命抵抗慘被轟斃港當局增派警輪巡邏　面
page 10	今日華軍兩路出師東方重逢士葛南華渡海征九龍會米杜息戰水兵約與抗香港會
page 10	學界籃球戰訊
page 10	五屆德權鼎聯賽今日開始報名
page 10	籃聯會今會議
page 10	南華週年陸運明日舉行
page 10	元旦足球義賽華聯陣容正式排定
page 10	國際杯足球賽大中華被淘汰影響今後收入甚大
page 11	古今中外各種奇異的大砲和砲彈砲身有用冰用皮革用　製成砲彈是　鐵渣糞十與及牛酪一
page 11	加利福尼亞怪漁船的出現
