page 1	中日交涉之危機
page 14	日兵越入市區情形
page 14	領署派員察勘地點
page 14	日陸戰隊發貼布告
page 14	修築計劃
page 14	滇公路建設計劃本年底完成繼修各省道土路並擴大縣道建築已分別動工
page 14	重要改革
page 14	虹口日水兵被狙擊日兵藉口護僑越界滬市長提出抗議若杉返滬訪吳鐵城日領館開兩度會議喜多佐藤由京飛滬公安局決協緝兇犯
page 15	蟄居西安報界前輩景梅九訪問記研究世界語老而彌篤神曲全部譯成離騷體
page 15	唯一的黑人國里比利亞阿比西尼亞被意相攫去了里比利亞地位也非常危險
page 15	成效概觀
