page 1	英國態度須硬透
page 8	受託代辦
page 8	免Ｘ注意
page 8	開盤競購
page 8	迄無結果
page 8	應得利息
page 8	外間　察
page 8	上水村又一農戶被劫一貨艇在南頭海面遇盜
page 8	八賊劫艇
page 8	搜　農戶
page 8	香港急賑會救濟失學難童
page 8	李霞卿將為荷李活明星
page 8	澳門三埠輪渡復航因地居民紛紛過澳來港
page 8	嶺南大學招待孟祿博士
page 8	赴美船票增
page 8	司徒德昨晚演講
page 8	華南米業公司報告代辦粵省存糧之經過並對收購中山土穀事有所解釋該公司現已改名中國物產公司
page 10	東方南征隊昨日凱旋比賽共九場勝七和負各一與海軍爭次度陣容亦擬定
page 10	籃球聯會昨開委員會議
page 10	學界排球聯賽昨已止裁報名參加者甚眾
page 10	職工杯定期開賽
page 10	本屆網球單打又是徐家天下小徐挫惠堂與乃兄向獲決賽權今日雙打株珍兄弟對全汝榮組
