page 1	現階段之抗戰形勢
page 3	荷蘭同情我國捐款五萬盾圓交國聯會救濟我難民
page 3	日拓殖省計劃移鮮民墾冀東
page 3	英陸相短期內聘意一般觀察彼負有重大任務
page 3	北平敵軍拘捕青年學生強指為朱德代表
page 3	國民政府七日令
page 3	正定外籍教士九人被敵殺害焚屍滅蹟此　發生於去年十月至今大白
page 3	滬日軍橫行日益無故槍斃華工公然搶走傢具
page 3	我游擊隊襲擊煙台敵軍損失極重
page 3	滬日代言人無話可說祇說日機襲重慶是否事實尚待証
page 3	蔣委員長通電全國勗將士同胞聞勝勿驕台莊之捷聊慰國人期望不足以言慶祝來日方長艱難未已尚希堅毅奮鬥到底武三鎮慶祝台兒莊大捷
page 4	昨網球單打賽渭釗不敵小林
page 4	昨日成績
page 4	全港乒乓界籌賑遊藝大會
page 5	黃範一急電報告
page 5	將來運入之辦法
page 5	飭嚴禁擅磨白米
page 5	敵機昨日兩次來襲梅縣擊落敵機兩架跌落長沙墟機燬人亡西村瑤台之人民損傷
page 5	第一次
page 5	第二次
page 5	敵機襲梅縣被擊落兩架
page 5	敵艦又擾中山淇澳居民紛紛逃避
page 5	敵機昨轟炸寶安城兩彈落警察局側斃警察一白馬一
page 5	台兒莊我軍空前
page 5	紛燃爆竹慶祝
page 5	國債會聘定港澳支會人員
page 5	粵鹽商業近況之調查程船運商設法辦運東西場鹽
page 5	行商紛請改善轉口稅商會決組織研究會
page 5	建廳主任秘書談討論解決糧食經過
page 5	桂禁煙處加征內銷特貨稅
page 5	桂省公商車實行聯合營業
page 5	粵鹽務整理費核准移充購機
page 5	財廳計劃加征失地貨品稅續訊另定新章順便實行加稅章程妥擬下月即可實施
page 5	粵民喜訊七十五萬公擔洋米余漢謀請准免稅運粵黃範一急電返粵報告運入辦法比前有變更
page 6	市商會改選未確定
page 6	請禁娼之指示
page 6	粵閩區稅務專員楊綿仲將來粵
page 6	林友松電告肅清粵湘邊匪
page 6	東增兩屬強盜勒收行水
page 6	地政局公佈督墾荒地辦法
page 6	粵航業實施統制後各線航商聯合營業聯合組織航業辦事處已有九線成立聯營處十三線在積極籌備中
page 6	粵樹膠業暢旺
page 6	汕出洋人數去月份之統計
page 6	粵閩邊境組聯防會各島防衛力之增強
page 6	汕抗敵後援會要聞
page 6	鑑別仇貨
page 6	請懲群醜
page 6	恩開新台最近要聞
page 6	壯丁隊長轟斃隊兵
page 6	匪徒劫余鷹揚住宅
page 6	各島漁民組自衛團
page 6	開平義興墟之命案
page 6	恩開組民眾自衛團
page 6	各縣長之更動
page 6	汕市黨部電賀蔣汪二氏
page 6	誕生三眼怪嬰
page 6	市橋大火傷人
page 6	粵軍管區之擴大組織內容及成立期部內共設四處一科某大員南返後成立
page 7	囚犯激增港府擴充荔枝角監獄犯人之增與人口增加無關除擴充監獄並謀治本之法
page 7	大批洋米運汕
page 7	滬江大學校長劉湛因昨遇害劉致力救國宣傳為敵所忌旅港學生會電劉夫人致唁
page 7	發表宣言
page 7	又唁電云
page 7	本港新郵票共印製十三種二分票漢字潦草略覺可惜
page 7	敵水兵又焚劫貨艇艇中人被推下海遇泉州輪獲救九洲海面亦有一貨艇被敵擄去
page 8	槍殺同黨
page 8	傷者報案
page 8	兇手被擒
page 8	尋獲屍身
page 8	傷者供詞
page 8	行兇動機
page 8	證人供詞
page 8	今日續審
page 8	保良局新總理昨選出陳鑑坡等當選女總理增至三名華民政務司讚揚去年總理勛績
page 8	到會人物
page 8	報告局務
page 8	羅文錦對財政司水務提案希望各界提供意見俾必要時向政府當局商改善商會意見不能代表全港居民
page 8	主席致詞
page 8	選新總理
page 8	陳氏略歷
page 8	廠商聯會電器商會三月份捐款二千餘元昨又收雨具捐款數千元聚樂別墅以酎神費購債
page 8	學生賑會
page 8	拔萃書院
page 8	聚樂別墅
page 8	雨具捐款
page 8	疑犯由滬解港
page 8	天氣漸趨炎熱各游泳棚準備開放華員泳場要修理中恐略延遲本港人口增加各會徵求順利
page 8	灣仔工人打架疑犯八人被捕
page 8	淑文校設粵語班以國語教粵語之創設
page 8	銅鑼灣芽菜坑山洞中槍殺兩命案正式提審主控官述賊殺賊原因及破案經過印　謨罕勿甸供述被毆失槍舊事
page 10	車輛失事統計
page 10	法使今日離港乘原艦赴海防
page 10	官立工業學校新校舍將開幕
page 10	搜獲大批私煙一婦人處徒刑
page 10	臨大學生赴滇第三批昨過港
page 10	醫務署再勸居民種痘痘症流行未已昨又發生多宗
page 11	深夜到前方
page 11	中國的夏伯陽
page 11	重晤奧六將軍
page 11	淅東前線巡禮一
