page 1	中央積極完成黃埔商埠
page 3	英代貴族院長瑪里爵士鼓吹英美合作對日
page 4	本港記者征省球隊今日開祝捷大會假大東酒店舉行
page 4	青年會勵進團水運第一晚情形
page 4	足球友誼賽寶安隊負與東方成績零比一
page 4	半島學界籃球賽定期開代表聚會高級有五隊初級四隊
page 4	虧佬隊出戰尖沙嘴
page 4	英京銀價無變動
page 5	鹽務機關合辦後查驗督配局均裁撤各地鹽場長撤銷由稽核員兼任鹽警隊改稅警隊黃明任總隊長統一事權管理局組織大綱決定
page 5	粵桂選送將官入陵大疑業日間起程北上
page 5	粵漢南段廿五日照常行車
page 5	行政公署展期成立各區綏靖公署限月底裁撤許廷杰仍在瓊崖廳候交代范其務昨仍未接收中區事
page 5	桂軍隊縮編之近訊百子路焚舖六十餘
page 5	江防司令易人訊馮焯勳奉委後之懇辭張之英已飭局辦交代陳淩瑛調總部通訊隊長
page 5	香翰屏起程北上
page 5	宋子良返粵行期
page 5	孫王等之南下訊
page 5	霍芝庭購機壽蔣捐廿萬元購機兩架
page 5	軍委會撥兩師一旅歸粵路警備司令指揮鄒洪奉兼保安處長後先趕速完成警備工作參謀長羅為雄談保安團之編組
page 6	航商堅請撤年季餉當局已允酌量辦理務以解除商人痛苦為原則
page 6	河南龍尾導大火後之餘聞
page 6	越南商展會在粵徵求出品
page 6	酒樓工人籲請改善筵席捐征收稽查員輒與工人為難酒樓會請財廳飭令改善並通告開會應付
page 6	防空局部演習記
page 6	永春園主槍擊匪徒續訊
page 6	粵路警備司令部撤銷不確
page 6	卸潮陽縣長區靈俠
page 6	中央軍第十八軍軍長羅卓英
page 6	建設廳劉廳長維熾對瓊崖實業局局長一職委傳秉坤接充傳氏奉委後
page 6	廣州市商會以所屬財政
page 6	呈文
page 6	開會
page 6	深圳賭場有人請建設商業市區以十年為期
page 7	決依期投票
page 7	請願之呈文
page 7	李星衢談話
page 7	投票之手續
page 7	香氏談話
page 7	北上行程
page 7	下榻旅店
page 7	香翰屏等昨抵港今午北上鄧剛亦同輪晉京就新職
page 7	大選競爭結果預測
page 7	英報業大王抵港對記者不發表談話
page 7	戴恩基昨由滬乘機抵港與港當局商港滬航進行
page 7	小輪客投海遇救
page 7	檢驗輸運車手續
page 7	濠江賭商發起群芳比賽會定重九節為比賽日期北里鶯燕紛運動競選
page 7	工界候選人
page 7	九龍國選糾紛未決港方仍定今日投票分兩票　一投港票一投九龍　開票期展限四天聽候解決辦法九龍各團體派何厭為代表晉京請願
page 8	昨日捐款成績
page 8	各界代表會議
page 8	明星伴舞盛況
page 8	游藝秩序豐富
page 8	李綺年突暈厥
page 8	女星盛服出場
page 8	跳舞會參觀記
page 8	書畫會再展期
page 8	國選代表的屬目人選李尚銘之呼聲
page 8	又一婦控夫遺棄
page 8	陣福善又開個展會
page 8	六人意外受重傷
page 8	兩賊匪夜劫茅舍
page 8	女星伴舞第一夜驚破霓裳羽衣曲李綺年突然昏厥梁雪霏化裝宮女落落大方大口何寬衣闊袖態度潑辣胡蝶影關影憐等均有坐檯
page 10	卑路將回英休養
page 10	車輛失事之統計
page 10	半島學生演說賽明晚在青年會舉行
page 10	病人自縊之研究
page 10	深水　昨發生小火
page 10	哥力芝總統抵港訊
page 10	九龍居民會例會
page 11	中山國選潮縣黨執委夫婦被擊
page 11	睦州警隊破獲拐案新會第十六區睦州墟
page 11	破獲潮連鄉私賭窟
page 11	廣海山塘鄉被洗劫
page 11	中山執煙與緝私發生巨潮兩宗
page 11	懲罰煙花之新法判罰外並懲鞠躬五百次
page 11	石灣警隊追匪激戰
page 11	磚窯塌爐生葬兩人
page 11	九江會議設九公所
page 11	九江戒嚴防甘竹匪
page 11	防軍圍剿平山匪幫
page 11	裁撤酒餅稅暫緩辦
page 11	新會西甲鄉匪徒縱火焚隊部
page 14	國慶日舉行黨史陳列館落成禮由國府主席林森開鎖闢門開放陳列室入覲者極踴躍
page 14	特殊營業
page 14	教育文化
page 14	濟南醫院
page 14	一般商業
page 14	濟南日僑現狀日僑總數較前大減特殊營業最為鼎盛
page 14	德國化學進步化學製造品額佔世界第一位發明絕緣器測量電線橫　面
page 14	由木質中
page 14	出品數目
page 14	戶口調查
page 14	中央撥款三十萬賑濟陝北匪區災民朱慶瀾何紹南到西安主持共二十三縣分為五區放賑何紹南談將於兩個月內辦竣
page 15	開化遠在周代雲南各地名勝彙誌二漢唐以前古蹟古物甚多風景優美為他省所不及
page 15	嘉卜寺會議後匪軍決定西犯成立防共自治軍王英張萬慶分任偽司令
