page 1	今後之國民大會
page 6	瓊崖鐵路最近測量之進行張海萍返京請示　測量隊已有三隊出發本年八月間可測致由馬　港築至榆林港貫通七縣全線四百餘公里大約明年底可建竣
page 7	設所緝私
page 7	肇事地點
page 7	鄉人所述
page 7	鄧平談話
page 7	形勢嚴重
page 7	馬局長談
page 7	稅警條件
page 7	謝樹英過港赴歐考察教育事業
page 7	少女墮車受重傷
page 7	改建三合土樓宇食物店請展限一年托李星衢代向政府呼籲華民司允與衛生局磋商
page 7	李氏復函
page 7	致李氏函
page 7	陳濟棠離歐返國將致力復興農村
page 7	免稅洋米昨尚未開始運粵領入口証手續極麻煩省港米商均希望改善
page 7	深圳稅警緝私與鄉人發生衝突鄉團誤認警為賊匪將之包圍幸官兵到場彈壓不致釀成慘劇
page 8	到會人物濟濟一堂
page 8	開會時間自朝至暮
page 8	中國學生思想動向
page 8	學生運動如何轉移
page 8	領導民眾引為已責
page 8	學生行動應循途徑
page 8	從今日起努力讀書
page 8	中華醫學會四屆年會報告一本屆增設眼耳喉鼻分科研究會新會所建築費現僅籌得三萬元
page 8	擴充會所
page 8	經濟狀況
page 8	會員人數
page 8	職業介紹
page 8	伏表註冊
page 8	營業部
page 8	售書部
page 8	畢士璧談中美航空聯運籌備經過畢氏來港係候迎香港飛剪號機中美兩公司在滬慶祝聯運成功
page 8	開航慶祝
page 8	籌劃已久
page 8	飛航　期
page 8	建設事業在在需財港政府擬明春增徵新稅俟薛尼堅到港研究決定務以不病商害民為原則
page 8	薛尼堅氏
page 8	增稅問題
page 8	逐月增加
page 8	義學生書法比賽昨在港僑中學舉行
page 8	到會職員
page 8	開會儀式
page 8	四條字題
page 8	孔教學院昨日講學
page 8	全港學生春令會紀大會論題為中國學生思想動向怎把五四運動的光榮恢復過來
page 10	拒毒會明日成立
page 10	三校攷察團返省對本港社會事業會詳細　究
page 10	少婦服毒幸遇救
page 10	兩男子突中風斃命
page 10	麗精畫院擴充學額
page 10	寶其利街昨晨小火
page 10	光甫義學演劇籌款
page 10	五省旅行團抵港
page 10	古廟龍舟脊運美作考古家研究資料
page 11	台山商人請減營稅額
page 11	台山縣警槍殺無辜之呼籲
page 11	廣州市工務進行概況陸林逸民在市府紀念週報告
page 11	市民建築概況
page 11	番禺因看會景溺斃多人
page 11	縣民興建潮中陂記
page 11	江門中行五一開業
page 11	請展限征地稅罰金
page 11	狂風暴雨損失甚大
page 11	陳村對營業稅決議
page 11	籌設戒煙醫院近訊
page 11	九江人請複評田價
page 11	縣府澈查縣中罷課
page 11	台山白石坑發現水晶礦
page 11	東路五六兩區鄰近四縣實施聯防訂定聯絡剿匪辦法
page 14	會議情形
page 14	傷心組織
page 14	日本統治
page 14	何鍵赴苗區視察苗民暴動真相將擬定方案呈中央採擇
page 14	何鍵視察苗區
page 14	清時一度騷亂
page 14	苗民痛苦萬分
page 14	根本改良生活
page 14	日本名古屋博覽會中國館列入殖民區我代表以被辱太甚提出抗議平津工商界憤慨主張　退出
page 14	中日合辦之惠通航空公司虧賠開辦迄今損失十萬元現仍籌劃中日間通航
page 14	　政治博覽會陳列中國痛心資料　偽組織內容之概觀本掌握偽組織之機構
page 15	傅作義將軍在清華
