page 1	粵新省府成立以後
page 6	廣東商民之一致要求改變幣制一元粵幣換一元國幣培養元氣請廢除一切苛稅雜捐各行公會聯會議決市商會之比率請求
page 7	糖商總會二次呈文
page 7	詳述糖業統制之害
page 7	撤銷統制於民有利
page 7	陳維周等昨赴西貢陳濟棠留港養　未同行
page 7	維周變更服裝
page 7	李醫拒見記者
page 7	濟棠留港養
page 7	私議無憑眾論足據
page 7	馮氏來函限令更正
page 7	國營招商局決增建新輪行走華南線貨多船少打破收入紀錄數月來整理業務之報告
page 7	業務整理
page 7	輪船設備
page 7	某要人離港放洋
page 7	旅星華工紛返國
page 7	再請撤銷粵省糖業統制本港糖商總會之呈文
page 8	中山艦過港
page 8	永績駐梧州
page 8	陳紹寬赴閩
page 8	程潛許崇清晉省
page 8	河相達夫昨抵港
page 8	庚款生赴法留學
page 8	租單不貼士擔案証據不足被告無罪
page 8	黃天石來函聲明與桂黃天石無關
page 8	非禮案證據不足
page 8	煙酒管理局例會增發日食物店售酒牌照
page 8	劉侯武過港赴越
page 8	三男婦服毒自殺
page 8	振成商學院放暑假
page 8	棍騙單車積犯被捕
page 8	陳紹寬巡視東沙島中山艦昨午過港匆匆入粵應瑞赴海南島永績駐梧州
page 10	醬料涼果商會代會員追討賬項
page 10	初級法庭案彙誌
page 10	意圖剪綹
page 10	傷害他人
page 10	被解潛回
page 10	港商周始南昨出殯
page 10	中國旅行社之發展
page 10	女間諜行將公映
page 10	製造紅丸案詳臬
page 11	檢察官在公益渡破獲拐案詳誌
page 11	曲江規定大洋換毫券價格商會議定加四四行使
page 11	良都北台車站命案
page 11	南始苦旱農民求雨
page 11	工人鬥潮暫告段落
page 11	附城召開防潦會議
page 11	三山鄉風災之詳情
page 11	禁煙稽查又被暗殺
page 11	英德穀船被潦激沉
page 11	東江匪患尚熾截劫貨渡被擊退
page 11	靈山縣地震調查經過十
page 11	鄧志材旅調順德昨十日已開拔完竣二十旅亦同時赴中山
page 14	朱紹陽夫人被綁與脫險詳情中途車覆為縣警發現人犯均解公安局審訊
page 14	朱氏家庭狀況簡述
page 14	記者訪問悉被擋駕
page 14	暴客三人排闥而入
page 14	司機急智暴客受紿
page 14	中山秀雄案開調查庭續訊四證人初次到庭楊建忠已離滬未能到案三被告仍矢口否犯罪物理學書再送法醫重請檢驗
page 14	捕房律師陳述
page 14	推事解釋誤會
page 14	四證人之供詞
page 14	開始審問被告
page 14	結果聽候再訊
page 14	王克敏談中日經濟提攜現尚無具體辦法否認辭職但暫時不擬北上華北隨時有發生危險可能
page 15	新興都市的廈門路政建設具有成績市面高樓櫛比好像較前繁榮實際烏煙瘴氣卻是江河日下教育因經費不裕已日趨沒落走私問題的嚴重實不亞華北
