page 1	蔣介石來粵後之粵治前途
page 4	友誼　光華今夕　華雄地點露天球場
page 4	港滬埠際網球賽本屆決定在港舉行日期定雙十節或和平紀念日棒球港方代表十月二日出發
page 5	致祭先烈
page 5	前夜駐節
page 5	談話待發
page 5	粵民迎蔣
page 5	昨巡黃埔
page 5	兩處聚會
page 5	陳漢光電
page 5	財廳規劃籌設營業稅總局
page 5	汪宗洙就職後之整理印煙酒稅談本月十六日起一律改用中央發行之印花酒稅過重者酌予減輕土煙專賣撤銷與否請示財部
page 5	汕商請撤專稅批
page 5	汕市商會及各行商請規定汕滬匯價比率嚴禁買空賣空
page 5	日艦會操後有三艘開到汕頭角田案又舊事重提
page 5	蔣委員長抵粵後前日致祭先烈昨晨巡視黃埔各將領在退思園會齊往晉謁日內將有談話發表陳漢光報告編師經過
page 6	接收肇和艦之經過
page 6	居陳蕭等抵粵後
page 6	李白覆蔣委長電
page 6	保護民營實委會工商業苦況調查
page 6	省府原日秘書處秘書張伯川昨十二日奉黃主席加委
page 6	高等法院首席檢察官謝英伯以檢察官錢耀江家臣王作謙等三人先後向卸任首席廖俞簪請准辭職
page 6	國立廣東法科學院院長前經派葉夏聲兼任
page 6	農林局長馮銳被扣留後
page 6	廣東憲兵司令李江
page 6	前禁煙局長陳玉崑
page 6	黃埔軍民聯歡會紀盛十二稔舊地重來三千萬人民無恙
page 6	會場佈置
page 6	參加人眾
page 6	開會情形
page 6	遊藝節目
page 6	告民眾書
page 6	禁用刑訊與行死刑之慎重
page 6	韓江水漲堤決後治河分會之巡視
page 6	黃質文部已改編
page 6	十八師開抵英清待命再行開拔
page 6	大洋加三為改幣重心商會再呈請當局採納
page 7	少年男女投宿旅店
page 7	同行同止狀至甜蜜
page 7	血染　第豔屍橫陳
page 7	腦裂口塞死狀甚慘
page 7	兇手遺書含有酸素
page 7	中西警探緝邏兇手
page 7	剌宋疑犯余立奎獲准上訴定本月廿七日開審
page 7	中央入粵要員擬在港組勵志社
page 7	颶風又有襲港勢天文台昨懸出一號風球
page 7	颶風位置
page 7	天氣突變
page 7	海壇輪命案餘音兩人被控走私煙
page 7	星洲政府頌佈入境新例赴星僑胞亟宜注意
page 7	捕獲一婦疑是淫媒
page 7	煮鶴焚琴旅店中剌殺情侶兇手遺書飽含酸素被害女子聞屬暗娼
page 8	六個月內軍用品入口統計輸入粵省者佔最多數僅飛機一項已值百餘萬手鎗子彈等亦值百萬元
page 8	飛機
page 8	獵槍
page 8	鎗彈
page 8	手鎗
page 8	其他
page 8	港中之避暑聖地
page 8	汕商請願團過港代表一行六人
page 8	集團婚參加者眾
page 8	西江潦水又暴漲較往年更高四尺
page 8	亞畢諾道之巨雷
page 8	紅磡血案昨初審理髮匠被控蓄意傷人
page 8	染有血跡
page 8	亦有傷痕
page 8	你條命
page 8	九龍各學校向內地立案須知
page 8	用鏹水淋女侍案簽保及賠償湯藥費了結
page 8	東華總理會議竟以禍由自取為理由否決設戒紅丸療治所案劉景清建議書洋千言樂善好施之心溢於言表
page 10	美遊客今日返國
page 10	調戲女子
page 10	私設旅店
page 10	初級法庭案彙誌
page 10	執獲鎗彈
page 10	賭徒作賊
page 10	英軍官請假赴庇能
page 10	六人畫會連日情況
page 10	西南中學考取新生
page 10	高陞劇團明晚開演
page 10	英艦四艘赴威海衛
page 10	九龍居民會常會
page 11	總部電令各縣警隊暫緩退伍
page 11	東江各縣呈請取銷香捐
page 11	二區舍人廟之命案
page 11	廣州市參議員建議整理廣州市政之規劃一
page 11	各區鄉民請減警費
page 11	參會請減田畝評價
page 11	陳村工鬥潮仍未止
page 11	官山商會焚找贖券
page 11	匪徒白晝劫神崗墟
page 11	佛山塌舖傷斃多人
page 14	日人佔領瞬又四載山河易色之哈爾濱歐人商業完全停頓亡國白俄湊演醜劇
page 14	散步街頭不無危險
page 14	不斷之拘捕與偵緝
page 14	馬場藏相的苦悶既欲向軍部獻媚又恐為財閥唾棄
page 14	對新主人翁之仇恨
page 14	綏東情勢突趨緊張某方發晉綏為目標逆軍進犯均經擊退
page 15	陝川關險慎重航測
page 15	廟溝煤礦投資開採
page 15	吳醒亞在牯逝世潘公展兼代社會局長市黨部等派員飛牯致祭
page 15	五日逝世
page 15	德國在近東之企圖
page 15	社局遺缺
page 15	組治喪處
page 15	黨部誌哀
page 15	各方電唁
page 15	黨部祭文
page 15	吳氏略歷
page 15	完成西北鐵路幹線寶雞至成都建鐵路穿越秦嶺劍門之險設計航測開採宜陽廟溝煤礦足供路用
