page 1	本星期中之中外要人行動汪精衛氏赴晉綏兒玉謙次來華
page 3	武漢試放重毒氣野犬十五頭受毒後旋即斃命無法灌救
page 3	桂考察團昨抵並
page 3	破壞和平鐵證西政府軍在戰地搜獲意相密電鼓勵意兵奮勇助叛軍作戰意俘虜自謂純係被騙而來
page 4	二對零東方戰勝九華立功者陳仲賢侯澄滔九華變更陣勢致敗北
page 4	南華南今日戰東方初戰時南華南雖以四對三得勝東方近突飛猛進南華南要當心
page 4	足球之理解與關鍵李惠堂在播音台之第二講二
page 4	南華游泳場四月十五日開幕
page 4	南華排球賽昨頒獎
page 4	南華南勝中華積分業與粵隊相等黎兆榮先勝李惠堂錦上添花譚均幹進步雖失敗可告無罪中華運捷三屆於前矣南華南豈可不努力哉
page 5	黃主席昨晚逝世
page 5	黃氏略歷
page 5	解決營稅辦法有於日內公佈訊
page 5	孫宋南下期未定
page 5	英大使游從化
page 5	附征浚河費訪問記開征後每年可增五十萬收入洋穀米部份仍須征收商人請求緩征尚未奉到部令停止稅務司李度與記者談
page 5	林主席廿五日可抵粵黨政各機關籌備歡迎
page 5	行程報告
page 5	歡迎準備
page 5	會議詳情
page 5	佈置行轅
page 5	軍警鞏衛
page 5	歡迎儀式
page 5	經委會撥五百萬改進蠶絲事業訊蠶絲局昨否認側重合作借貸款
page 5	省營產物經理處已改委鄭豐為經理昨十九日鄭新經理到處接收舊任陳君樸親到交代
page 5	廣州市酒樓茶室工會
page 5	市黨部社會局
page 5	聞前任越督巴力能氏已於本月十三日由越乘機飛滇十五日離滇飛桂在桂勾留三數日
page 5	今廿一明廿二兩日為韶關南華寺佛誕之期
page 5	一百萬擔洋米將運竣財部再免洋穀米全稅訊額定二百市擔惟有條件附帶籌辦平糶經已停止
page 6	鹽商呈市黨部請調解運鹽糾紛
page 6	主張疏濬七滘河江門航會之討論
page 6	各行商紛請勿再催報所得稅市會推派代表赴漢
page 6	保安大隊長今明日繼續委出
page 6	財廳整頓沙田稅收續訊取消專員兼征沙捐承商稅直解財廳征收處祇負督征之責四月一日可全部開投投承細則之探錄
page 6	民族渡慘案執行物業假扣押江門家屬派員來省引導執行
page 6	美術展品已　京
page 6	河南瑤頭等鄉開救濟糧食會議決開辦各鄉平糶
page 6	粵漢長途電話昨日之通話情形
page 6	尢烈將公葬無錫孫科為捐款鑄像
page 6	憲兵破獲寺右鄉私煙窟
page 6	鹽商反對增稅罷業期有延長之勢鹽商成立聯合會謀應付鹽署謂罷業不影響稅收
page 7	藍軍雄師壓迫防軍左翼
page 7	青洲海面敵軍又逞英勇
page 7	九廣鐵路慘遭敵隊毀壞
page 7	敵軍告捷防軍增厚防衛
page 7	藍軍電告前宵節節勝利
page 7	燈火熄滅市面狀態一瞥
page 7	燈火管制全　警探出巡
page 7	深夜出發沿　調查所獲
page 7	是探險家是孝子莊順賢步行世界並尋父塚歷時十一載足蹟幾遍五大洲現返抵星洲兩年後始能抵港
page 7	九龍城居民請願代表將南返
page 7	基利士在美逝世
page 7	馮香泉宴施利民
page 7	羅旭和等電唁黃主席家屬各界僑胞亦深表哀悼
page 7	軍事演習第六日敵軍炸毀鐵路隧道雄師壓迫醉翁灣防軍之左翼施行燈火管制全體警員出巡
page 8	港政府之委任令
page 8	英皇批准兩新例
page 8	法艦隊司令赴滬
page 8	爆石炸傷兩石匠
page 8	慶祝英皇壽辰改期
page 8	工人失足跌破腎囊
page 8	南洋書報二期出版
page 8	港漢長途電話昨日開放廣州漢口兩市長首次通話
page 8	各平年的景象製造軍械原料價格飛漲港幣一元僅兌龍仙百五枚廢鐵每擔亦售至十二元餘
page 10	過海輪搭客出海
page 10	賑綏書畫展覽會徵得出品千餘幀
page 10	以淫畫誘惑婦女登徒子畏罪潛逃
page 10	日婦遷居不報被罰
page 10	港府將徵收招牌牌照費並修改現行廣告條例
page 11	鬱南民眾聯議應付誣指庇賭
page 11	水利局派員視察高明水利
page 11	汕頭江門海口三僑務處將成立
page 11	省行辦事處昨開幕
page 11	南文鄉學校被搗毀
page 11	發現孖髻山大鎢礦
page 11	大澤墟殺人犯就捕
page 11	縣兵已改為玫警察
page 11	各聯鄉處籌備成立
page 11	匪圖劫大布村不遂
page 11	陳村鹽價高漲驚人
page 11	葵扇工潮昨已解決
page 11	各界調節糧食會議
page 11	反對抽新運附加費
page 11	兩陶行工人之糾紛
page 11	談瓊崖走私與緝私之有效方法
page 11	地勢概述
page 11	過去事略
page 11	各縣不得禁穀米出境政府所謂禁米出口係指禁運出洋而言
page 14	鎮江象棋名宿王浩然訪問記張錦榮是他的弟子
page 14	四十餘年未遇敵手
page 14	涵養　性不重技藝
page 14	苦心研究並不看譜
page 14	　不對壘
page 14	日本新任外相佐藤尚武的使命外交一元化恐難辦到
page 15	五原料的儲藏與開發
page 15	六食糧的準備
page 15	德國財政的整理
page 15	積極備戰中之德意志
