page 1	松崗談話與日外交近態
page 5	日擾鹽田
page 5	深圳日情
page 5	惠城空襲
page 5	日傷兵數千運中山
page 5	三日災情
page 5	省佛日店紛紛結束兩日來日商回國者五百餘人
page 5	台山組設農業工作站積極發展農業生產召各鄉開生產會議
page 5	二日災情
page 5	瓊越日軍調查
page 5	南寧市容恢復舊觀中央振款二十萬元開始散發恢復龍州中學合作總站遷邕
page 5	收繳日鈔市容恢復
page 5	龍州中學籌備復課
page 5	軍民合作總站遷邕
page 5	桂林報人積極進行獻機各報館紛紛舉行義賣
page 5	最高統帥獎勵建功將領郵　光王德全等獲獎章
page 5	曲江縣府發放平鹽救荒
page 5	南海縣長高鼎榮辭職訊
page 5	我繼續掃蕩新會五區殘日縣政府及各團體組織散賑團中山八區團隊農民擊退日軍
page 6	東行車商運米辦法
page 6	設檢查站辦理登記
page 6	省貿易處舉辦平糶
page 6	增撥資金搶購戰區物資戰區經委會向各行借款三百萬
page 6	湘贛桂米陸續運粵
page 6	縣府各科工作範圍變更
page 6	財廳派員視察惠州稅局
page 6	戰區方面
page 6	省府方面
page 6	軍事方面
page 6	余長官報告軍政近況
page 6	粵糧管局派撥車輛東行運米已成立東行車輛糧食銷售處各省運粵米糧照本發交各縣
page 7	零售米商謁統制官
page 7	欲食上米實非易事
page 7	貨艇運米違例被罰
page 7	首批返桂義民定十三日首途
page 7	李宗仁夫人參觀工藝學校
page 7	大批仰光米將到港
page 7	澳門馬票開彩頭獎一八二十九號得彩銀八千六百元
page 7	貧苦兒童與年俱增保兒會昨舉行年會籲請各界協助救濟
page 7	一年工作
page 7	財政狀況
page 7	海盜劫艇擄人掠去貨物值數千元賊艇竟架有機關槍
page 7	港越輪紛改航加入港泰港緬線行走
page 7	聯美機今到港
page 7	澳駐日使赴任
page 7	兵災會賣物會請何香凝揮毫該會已定今晚閉幕
page 7	大批鮮魚到港
page 7	蘇聯貨輪離港載　大　華茶礦產
page 7	本港第一屆廣告攝影展覽在積極籌備中
page 7	港向泰商訂購米協定統制官接納零售商請求將飭令各米行放出存米
page 8	革命老人團昨出發赴湘粵桂等省宣慰將士各大僑團均贈旗壯行色
page 8	不塘存水統計較去年同月略減
page 8	佛山輪赴省無期日方限制過苛得不償失英日雙方現尚在談判中
page 8	防空救護隊定廿二日會操各界得領證入場參觀
page 8	西區保衛團長又有兩段　出
page 8	移民局長談局員如有舞弊決嚴辦但否認已有三職員被扣留
page 8	永樂輪仍被留海口巴領兩度抗議日無答覆
page 8	英戰時慰勞會又募得數千元
page 8	少女投海獲救
page 8	澳警探來港緝殺印警兇犯
page 8	緬甸限制現金出口經緬歸僑款項宜電匯
page 8	藏械案昨判決軍械允公被告省會
page 8	大學生聯歡會定十五日舉行
page 8	劫殺案昨提堂
page 8	管理祖嘗糾紛胡達修上訴被駁回
page 8	三合會十八友首領歐添入獄
page 8	宵小入屋行竊
page 8	三院選交換機總理明日在東華醫院舉行
page 8	郵差擅藏郵件初級法庭詳臬定讞
page 8	上海綢緞莊減價
page 8	遠東局勢稍安南洋庄已恢復辦貨港九各大小廠家現均加緊工作去月南銷貨物較去年同月尤多
page 10	仿林華雄合辦男女籃球義賽明晚在健身室上演五曉籟主持開球禮
page 10	四四金市沉寂
page 10	國幣市情平穩省　券　無變化
page 10	滬外匯市微緊
page 10	港股份市昨極活躍成交總值超過十萬元
page 10	昨日學界籃球賽中級平正擊敗西南初級仿林輕取英皇
page 10	又到暹羅米船一艘本港米價昨日微跌
page 10	記者籃球隊今日出戰平正
page 10	港九校際乒乓十二日開始接觸
page 10	友誼小型球戰訊
page 10	高價收買鑽石金器玉器珠寶銀器金砂金
page 10	港市美匯略縮申電微鬆銀行沽三百餘萬
page 11	假如美國借用新嘉坡
page 11	從美艦東巡說到英美合作
page 11	海空軍的爭霸
