page 1	莫洛托夫演詞書後
page 8	少年李恒益被控棍騙旅美華僑鉅款案情複雜押候一星期查究
page 8	各院校統考試卷昨已開始評閱
page 8	英慰勞會最近收支概況
page 8	普益商會議決孔聖誕辰採用國曆國民應服從政府功令
page 8	旅港各邑商會應速協助邑僑疏散三水工商局已盡力協助英婦孺六十人今赴澳洲
page 8	陸海通旅店桃色血案詳臬兩證人證明女曾與被告同居女嫌被告清貧留兩月即離去
page 8	清遠公會新舊董事交代
page 8	誤殺案昨開審
page 8	港越商輪昨日復航前航政署曾拒發出口證
page 8	赤柱監獄釋放囚犯千餘出獄後即遞解出境獄中現有囚徒三千
page 8	三水工商局主席談
page 8	英婦孺一批赴澳洲
page 8	鮮魚仍無到港
page 8	小販工商聯會議決八一三戶內義賣華商總會傷友捐款六萬元匯渝崇正濟難會施賑上步村難民千餘
page 10	今夕域多利泳池中西游泳對抗水國兒女大顯身手勵進域會各有千秋
page 10	中華二次水藝今晚舉行
page 10	今日棒球聯賽南華戰港啤
page 10	四屆德權鼎今日揭幕謝雨川氏主持開球典禮
page 10	籃球戰訊
