page 1	日再派大島浩使德
page 7	港對外貿易數字十一月份續有增進較去年同月約增百分之二一出口增加尤多入口亦頗不弱
page 8	華南戰時兒童教養會在各地進行之步驟籌足三萬元即在港設院認養兒童辦法昨已公佈
page 8	捐款目標
page 8	進行步驟
page 8	認捐辦法
page 8	市民渴望規定柴價並望政府派專輪直接購運
page 8	印劇工友待遇問題日間可望圓滿解決夜工工資勞方允加五計算祗餘住宿費一項尚須討論
page 8	少女服毒獲救
page 8	油麻地輪船公司捐戰費二萬元
page 8	馬士文公司獲准減低股本五十萬鎊減為廿五萬鎊
page 8	破獲骰寶賭窟賭徒數十人被罰
page 8	高等法院查核南京銀行資產庫存現款僅得鎳幣十二元行中傢具已夜冷行拍賣
page 8	華僑銀行追討欠款
page 8	拍賣傢私得千餘元
page 8	西婦報失鑽　價值六千餘元
page 8	搜獲大批偽幣一路人被拘捕
page 8	四賊截劫木匠
page 8	謀殺案昨提堂
page 8	洋米入口免稅九　關之通告
page 8	干諾西保衛團正副隊長選出
page 8	三次行使偽幣寡婦判處徒刑兩被告押候下月宣判
page 8	圖發國難財善棍七名被罰三疑犯無罪釋放
page 8	可容萬人之跑馬地防空洞將開掘　公花園一洞建築完成　督力贊本港防務鞏固
page 10	加山今演好戲東方逢米杜息界限街光華迎九龍約瑟戰蘇軍　香港抗水兵
page 10	港必學校體操代督蒞場頒獎
page 10	國際杯足球賽蘇軍陣容經已編定
