page 1	日圖參加德意軸心
page 5	中山團隊經費問題
page 5	花縣前線安謐組訓民眾參戰成立基幹訓練班樹戰地兵團模範
page 5	韶關風度路火焚商店兩家
page 5	順德匪黨劫日軍運糧船艇劫去穀石兩大載
page 5	革命軍誓師紀念日台山舉行兵役運動舉行座談會及演講比賽解釋獨子甲長緩役規定
page 5	廣州灣情勢之急轉日魚雷艦開到西營海面日檢查員兩人與法當局商談多次艦上砲衣悉行脫去裝作威脅形勢我高雷大軍全體動員準備迎擊
page 5	日檢查員頻頻登岸
page 5	日艦搜查來灣外輪
page 5	法方又再發出佈告
page 5	五眼僑日軍濫捕無辜民眾訊明均無可疑但尚未准保釋
page 5	走私之風盛極一時
page 5	挺進隊長官緊守古井日軍犯杜阮被我伏擊林卓夫就中山縣長職將往晤袁帶會商軍政
page 6	鎮南關已發現日蹤
page 6	日高級監視員由越赴廣州灣乘飛機墮江洪港斃命詳記我方已撈獲重要文件及兩屍骸日艦日機大肆威脅情勢極嚴重
page 6	淩晨六時由越起飛
page 6	法機日機分途找尋
page 6	打撈困難僅獲兩屍
page 6	我軍繞襲上金縣城
page 6	日艦威脅成對峙狀
page 6	柳澤死後日艦未到
page 6	日艦迭窺合浦沿岸
page 6	偽順德縣長擅易青雲文社主席各鄉紳耆聯謀反對
page 6	嶺東情勢外弛內張日艦結集粵閩海面日趕闢南澳為根據地圖控制汕海我軍續反攻　石潮安日犯青麻山
page 6	南澳積極趕闢機場
page 6	分路包圍猛烈殲擊
page 6	蔣廷黻談粵政謂各機關公務員知識尚低要提高保甲長地位及待遇巡視各省官吏被控者數十宗
page 6	為謀牽制我軍進展
page 6	豫鄂會戰日軍傷亡慘重之事實日所稱勇戰軍官多受傷而死日學生部隊在河南山地被殲滅
page 6	日軍陷龍州後仍沿龍江西進逼越邊境我在兩岸伏兵將其擊退防城我軍曾攻至山腳村當局維持戰時糧食續誌
page 7	日機狂炸淡水兩童受傷來港醫治
page 7	留港澳衛生人員應徵回國仍可報名名額未足考試延期
page 7	疏散赴廣州者紛紛折回港澳淪陷區終非安樂土
page 7	時疫流行漢奸作怪
page 7	立足不穩又復離去
page 7	港澳輪客昨仍擠擁
page 7	英籍婦孺登記統計
page 7	長沙環海面八賊劫船水陸警出發查究
page 7	在日人滇越鐵路已無形封鎖日在越積極搜購白米禁華僑一切愛國運動
page 7	汎美機昨離港
page 7	英慰勞會最近募捐成績
page 7	戰事影響投資廣生行減資本每股派回二十五元已獲高級法庭批准
page 7	代督史美遷居山項官邸
page 7	關麗珍未受刑昨忽臨時展緩
page 7	保育會調查留港會員確數準備改選下屆理事
page 7	維持港九治安警當局已有具體辦法街坊自衛組織在加緊進行中俟籌備成熟即與華商會合作四華人代表昨函復商會
page 8	林中原私藏密電碼違犯本港戰時法例承審官判罰一百元
page 8	華僑赴墨西哥新辦法新客入境每年僅准一百名
page 8	舊客
page 8	肉檯夥伴剌腹慘死一面切肉一面閒談誤刺已腹當場殞命
page 8	何乾記火警案昨日研訊終結死者薛康死於意外
page 8	旅港順德商會應努力救濟故鄉難民各界賑聯會已允酌量補助
page 8	竊匪行兇傷人警　獲四疑犯
page 8	新客
page 8	振聯會續收售花捐款昨收到港幣千五百餘元普益商會募得四百餘元
page 8	少婦控夫虐待法官勸令和解
page 8	為國家育英才廣東兒童教養院籲請僑胞認養義童認養一人每月負擔國幣十四元對認養之義童可作誼子女看待
page 10	宵來乙組籃球賽僅得一場舉行精勵力戰挫保羅青白郵匯均棄權
page 10	夏令籃球戰訊
page 10	協會致電東方足球隊負責接納和和杯義賽
page 10	中青會籃球消息
