page 1	須磨對我觀察與國人之自勉
page 5	炸甘竹灘省府徵集意見與計劃順德人反對之意見
page 6	粵軍費每月減發五十萬綏署總部令所屬特別撙節各費用
page 6	土布製販業請免營稅已批准
page 6	廣九焚車案死難登記之進行
page 6	四省特展籌備會議續誌
page 6	試辦新會計制度展期實施
page 6	最有效之禁賭方法及其詳細計劃三
page 6	營稅潮未解決前稅局暫停派員調查
page 6	機工總會電請暫免洋米稅
page 6	黃慕松昨未返省
page 6	意領拜會特派員
page 6	五區行政專員痛論煙葉專賣之病民呈請省府撤銷
page 7	轉移目標進攻香港
page 7	演習規模異常偉大
page 7	熄滅燈火開用警號
page 7	空軍將官二人抵滬
page 7	作戰軍艦三十餘艘
page 7	達打將軍率機進犯
page 7	化旦科學談
page 7	九龍關佈告民船重行登記覓保辦法飲料進口稅則增附注三條
page 7	小澤
page 7	羅亞谷諾
page 7	施德堅夫人
page 7	港米價即將低跌暹羅米源源而來
page 7	九龍居民請設痳瘋療治所
page 7	昨廣九晚車又遲到先斷拖鉤換車頭又馬力不足竟延至今晨一時廿分始抵港
page 7	巨纜絞斷榜人足
page 7	星軍港實力已足香港能否如金湯英政府又將試驗港實力以星海陸空軍為假想敵向港進攻巴度苗親任防軍總指揮率軍抵抗駐華南英艦卅餘艘全數參加表演或須熄滅全港燈火開用告急警號
page 8	報告事項
page 8	議決事項
page 8	賑款匯綏
page 8	高級法庭昨判決刑案三宗制紅丸五犯各處徒刑三年
page 8	私藏毒藥
page 8	行使偽幣
page 8	華商織造商會反對修改特稅條款失敗昨晚召開第二次同業大會西商會派員出席解釋一切
page 8	太平劇團定期晉省今明兩天仍在港表演
page 8	欖　同鄉春節聯歡
page 8	俱樂部侍役被斫捕獲嫌疑犯一名
page 8	蔣堅忍醜詆粵人大動公憤粵老黨人電請撤蔣職
page 8	三英警官奉令遷調
page 8	慶蔣賑綏游藝會定本月廿八日開幕擬借名園娛樂場為會場賑款九千餘元今日匯綏
page 10	意新輪將走南洋
page 10	東華院施派棉衣
page 10	曹善允定期赴英
page 10	冒差圖騙兩人被罰
page 10	囚犯病斃案昨訊結
page 10	國祥書院設漢文班
page 10	兩校春季游藝會紀
page 10	遠東各埠時症週報
page 10	摩囉上街昨晨小火
page 10	福安輪船機壞遲到
page 10	鐘聲社馬票之暢銷
page 10	修正販賣食品牌照則例市政衛生局昨已通過
page 11	惠州各界成立民食調濟會即日由軍政命令調查躉穀數量
page 11	潮汕抽紗業興盛商人爭先配運美國
page 11	決議事項
page 11	軍政命令
page 11	調查辦法
page 11	博羅數百民眾大鬧民教館因新年假期播音機預早停播
page 11	九江警士無棉衣公安局長揮淚檢閱
page 11	陝財長來粵經過汕頭之酬酢
page 11	燃燭拜神釀成火災
page 11	舞麒麟發生小衝突
page 11	商民再反對營稅
page 11	計劃擴植桐林苗圃
page 11	石龍鎮社會概況二
page 14	海機大本營加蘭機場決改期開幕
page 14	提高航空術
page 14	某國導演的偽共黨機關續破獲天津軍警連日嚴密戒備偽共黨圖在春節時擾亂警探據報捕獲要犯五名
page 14	余氏談話
page 14	抵滬情形
page 14	余漢謀等赴京經滬情形
page 14	義勇軍參加海上飛行須嚴密組織
page 14	檳城將競賽帝國空郵派員習海機
page 14	英海陸空軍演戲藍軍不能攻下星洲勇攻固守兩方損失奇重劇戰後敵艦藉煙幕逃遁星洲空軍偵察機夜間在空中逡目的保護數十萬市民免在睡中被　炸參加空軍舉行大示威
page 15	漂泊關內的東北人
