page 1	匪偽又醞釀犯綏
page 3	威爾遜和平獎金委員會已決定以本年之和平獎金贈予美國駐外特使台維斯氏
page 3	歐亞航空公司之平粵線將在此四星期內展至香港
page 3	佐籐發表談話否認在華北樹立特殊勢力鑒於華北問題之重要性決擴充對華外交陣容決在華增設三參事官企圖滿進行對華政策
page 4	足球程度仍無改進
page 4	李葉缺場影響大局
page 4	隊員疲乏致招失敗
page 4	李無馮助將難施展
page 4	施福守街鞏固異常
page 4	省運會明日正午童軍表演內容使社會人士認識童軍訓練重要舉凡消防跳救生網等莫不具備
page 4	公開小型足球賽明天十二勁旅會師銅鑼灣三時半開球分在各場舉行九日自晨迄暮共賽十二場
page 4	跳水水球代表體協會昨續選出十五晚參加國際水上遊藝會
page 4	小型足球協進會昨開會判決諸案文均泰毆人案著令暫緩出場每日增加一場比賽以快結束
page 4	學界排球因雨改期今日如睛明有兩場舉行
page 4	英京銀價昨報漲
page 4	本港外匯市疲弱
page 4	德臣西報著論評述甲組足球各隊得失一南華會比賽過多造成失敗原因推崇李惠堂馮景祥及李天生等
page 5	吳主席宣誓盛況
page 5	佈置
page 5	觀禮
page 5	訓詞
page 5	宣誓
page 5	答詞
page 5	新華銀行開幕宋子文來　主禮
page 5	免稅洋米陸續入粵米價仍未能平復原因米商請改善穀米同運
page 5	米商再請改善穀米同運
page 5	湘米運粵仍未改善檢查
page 5	五區專署批令潮汕鐵路依法選董事長
page 5	保安隊退伍後一律編為壯丁隊由各該鄉公所登記遇需要時便於召集
page 5	根本解決粵糧食問題明日擴大舉行聯席會議決定整個方案由程次長攜京程氏定於十日乘粵路車北返實業部核定後交粵省府實施
page 6	粵僑電請以現款償革命債票債券二期登記六月開始
page 6	日艦在粵閩演習
page 6	粵蠶絲局改良絲織機械
page 6	梧州新生活運動嚴禁赤膊行馬路
page 6	接二連三之河南莘五兩鄉械鬥潮昨幾決裂幸能制止
page 6	五屆商代會籌備開會之急迫改組商會待開會決定
page 6	衡陽粵鹽商聯電省市商會乞援
page 6	蕭冠英並非晉京昨談鄒魯之病狀外傳諸說不確
page 6	水利工程與公債發行另請英庚款會借款
page 6	財廳推行地方會計辦法三
page 6	粵省禁煙署訪問記分區委出查禁專員後將認額銷膏制撤銷某秘書談話
page 6	粵路路軌已修復廣武車照常開行
page 6	廣東省政府財政廳所屬各機關會計人員暫行規程
page 6	省府主席吳鐵城以廣東鋼鐵廠籌備委員會主任劉維熾呈請辭職
page 6	地政系畢業學員
page 6	覃振昨六日午回訪省黨部特派員
page 6	粵市革命老黨人
page 6	建廳消息
page 6	　州由第七屆集團結婚
page 6	　四路軍裁減兵額海軍營團之裁撤陸戰團與海軍練營
page 7	載來搭客
page 7	靠泊碼頭
page 7	歸航搭客
page 7	瑞典記者
page 7	點綴燈泡十萬
page 7	慶祝加冕期內本港水陸交通之調查各區過海小輪均增開班次電車巴士亦加派車輛行走
page 7	特別裝飾上市
page 7	瑞典對華
page 7	中航機到
page 7	播音　裝妥了
page 7	巡遊路徑更改
page 7	郵局辦公時間
page 7	水陸兩方交通
page 7	廠聯會四屆主席昨選出正主席廣萬隆爆竹公司連任
page 7	賑綏會續收捐款
page 7	鄧萃功候輪晉京
page 7	肇和艦謁龍母昨開赤灣今晨始返黃埔
page 7	過海小輪
page 7	各區電車
page 7	長途汽車
page 7	東方旅行事業會第二屆在本港開會
page 7	不似其他
page 7	中美飛航首次載客香港飛剪號昨抵港載來男女搭客共二十人環飛世界瑞典記者飛菲
page 8	初作女侍後作野花
page 8	粉頸重傷勢去其半
page 8	虧空　款自知不了
page 8	男女相約投宿旅店
page 8	三大團體昨讌賀李樹花李表示當謁力為僑胞謀幸福
page 8	赴會紳商
page 8	主席致詞
page 8	李氏答詞
page 8	醫人醫國
page 8	廣州米價之調查
page 8	醋海興波寄書斥責
page 8	勒索案三犯入獄
page 8	恢復繁榮
page 8	交通治安
page 8	漁人捕獲斧頭鯊
page 8	引渡虧空疑犯案押候本月十日再審
page 8	陸文瀾今晨可抵港
page 8	傷妓自宮案初番潘慧芳自述戀愛史相識將一載曾訂鴛盟後何疑潘情變寄書斥責
page 10	露宿人夢中被刺
page 10	港警官赴星服務星洲海軍船塢組警察隊
page 10	搜獲大批海洛英
page 10	華北旅行團改六月一日出發
page 10	放影意航空影片意國領事柬請官紳參觀
page 10	鷹艦昨日已抵港
page 10	法展覽會證書寄港
page 10	由歐乘車到港第一人科士打述歐亞旅途觀感四德國婦女應回到家裡去柏林不是世界美麗都市
page 11	廣惠區營業稅征收困難第一期稅收未征得分文
page 11	少年捕虎斃命
page 11	寶安囚犯越獄轟斃一名逃三名
page 11	改良廣東地方會計之意見七
page 11	台山公益區之旱象三姓農民聯合求雨
page 11	分期整頓交通秩序
page 11	禁煙會決增設特警
page 11	西樵禁止建醮演劇
page 11	嚴禁漁民網捕小魚
page 11	增設民校掃除文盲
page 11	縣府定期遷往會城
page 11	縣府保護公路樹木
page 11	青塘鄉吳姓之械鬥
page 11	墟渡沉沒溺斃兩人
page 11	中順英龍堂匪首被捕包捕時尚頑拒數小時
page 11	汕商庫證八百萬本月開始實行收回
page 13	大直沽浮屍檢獲七十餘具至今情節仍未偵得數目之多歷年所無
page 13	閩商拒售私貨運動福州綢緞業極形衰落現有九家決不售劣貨
page 13	剌汪宋案判決書六
page 13	日軍佔駐下之豐台車站有日憲兵隊部站西又有日本兵營隨時演習居民不安韓人橫行到處滿佈
page 14	歡迎人員
page 14	抵滬情形
page 14	許陳談話
page 14	不可一刻無鐵肺之施迺脫歸國之行短期難如願二病者身患瘋癰不能經舟車上下之勞其父擬在碼頭建臨時軌道以便移入登舟
page 14	有國歸未得
page 14	綏邊偽軍小組部隊出沒邊村目的在擾亂防軍並搶掠馬匹財物
page 14	爪哇華僑青年飛行家許啟興陳義岸抵滬自駕爪哇航行中國號飛機據談飛返祖國觀光頗感愉快
