page 1	廬山會議與內外大計
page 11	石灣陶行又起糾紛
page 11	囚犯圖謀越獄失敗
page 11	西江十三屬籌備歡迎余漢謀
page 14	奧內閣略事更動
page 14	德廣播協定內容
page 14	奧經濟可望發展
page 14	日本參加國際攀登高山善於登山之學生八名不日將抵星赴喜馬拉雅山攀登二萬餘尺高峰
page 14	英當局注意空中防務兩隊戰機增防星島上昇力極速發射准確戰時能禦轟炸機前進將舉行空防訓練使人民具備空防知識
page 14	未來洛迦諾會議
page 14	法當局態度冷靜
page 14	歐洲局勢將有新進展德奧宣佈成立協定德國允不干涉奧國內政並承認奧國獨立德奧協定係由墨索里尼所策動
page 15	計順將請胡適赴菲講學
page 15	上海人妖之一看香頭的歛財手段驅鬼招魂說得天花亂墜醫治疾病香灰可奏奇功
page 15	川省旱災嚴重政府當局正籌救濟租旱災民食救濟委員會向銀界籌款購糧辦平糶
