page 1	反侵略陣線與國聯機構
page 6	粵省府嚴厲重申禁賭命令壯年賭犯送充兵役
page 6	裏水麻奢各渡連日被劫
page 6	陽江縣府訓練幹部人材
page 6	梅縣疏散辦法分二期實施
page 6	汕加緊灌輸軍民政治教育
page 6	Ｘ圖死守增城東江沿線Ｘ軍加緊築防福和我軍襲Ｘ之戰績
page 7	候迎者眾
page 7	離省經過
page 7	起卸貨物
page 7	死市近狀
page 7	大利擱淺
page 7	中美文協會席上詹森評論孤立政策美國不能與世界脫離關係宜變更政策適應目前環境
page 7	英大使昨抵廈Ｘ
page 7	培英校友追悼黃故校長今日在青年會舉行
page 7	又釣獲一鯊魚重一百四十五磅
page 7	越南政府優待我國過境難民地方淪陷後准遷入越境暫住預報當地政府得免身稅三月
page 7	惠陽青年會今日招待各界
page 7	東安大明大利三英輪昨始脫險返港船上貨物被迫起卸存廣州貨倉大利輪中途擱淺深夜仍未抵
page 8	深圳私梟拒捕續紀疑犯十三人現在審訊中
page 8	夜靜槍聲卜卜
page 8	捕獲疑犯一十三名
page 8	稽查私梟發生大戰
page 8	五次特別賽馬決分兩天舉行今日為第一天賽九場預料冷門馬將佔優勢
page 8	酒樓茶室明日賣花籌賑
page 8	鷹艦由星返港
page 8	教育當局嚴禁各校濫收學生課室狹窄座位太密實足影響學生健康
page 8	街頭露宿者將遷入難民營
page 8	中國工業社跳舞會昨舉行
page 8	昨撈獲三浮屍
page 8	貨艇遇風沉沒
page 8	下月英王壽辰本港舉行閱兵禮
page 8	經濟部稽察國貨廠商
page 8	浸信會賣物會廿九日再舉行一天
page 8	難童赴韶受訓
page 8	防空小冊子出版
page 8	海防貨物下月增加運費
page 8	某巨紳談本港不宜徵所得稅華人入息微薄成績必不佳一旦實行徒增窮人之痛苦
page 10	棒球聯賽南華今戰友啤
page 10	球類比賽彙誌
page 10	真光女子中學今日舉行運動會
page 10	光華體操班近訊
page 10	學界排球戰績
page 10	南華南遊足球隊臨別對抗港聯今午五時在加山收入撥作賑災用
