page 1	中英兩大民族之攜手
page 6	日艦七艘忽到汕進口後始通知　當局
page 6	春寒料峭陰雨霏霏清明節市郊狀況掃墓者絡釋於途軍警長官祭先烈
page 6	保護週密
page 6	交通情形
page 6	郊外擠擁
page 6	公祭先烈
page 6	河南情形
page 6	胡文虎由港抵省
page 6	市行籌設芳村花地辦事處沙河辦事處今日成立
page 6	兩項計劃
page 6	廣東省銀行計劃流通粵省經濟資源利便華僑匯款調劑農村金融進行與外國銀行直接通匯多設各地辦事處舉辦貸款
page 6	市小教職員子女請准免費入市校當局將予核准
page 6	新水廠興工定十四個月成完
page 6	爆炸甘竹灘候吳主席履新後決定
page 6	嚴厲禁止輪渡偷渡廿竹灘
page 6	省銀行定期開辦順屬絲繭業貸款
page 6	社會局組設民營工業調查會
page 6	補救田畝調查以前錯漏財廳訂定整理辦法更正冊中錯誤改善征收手續錯誤過多者准　呈報從新調查漏編之田畝　兩月內申請補
page 7	省時省事迎吳主席大會統一組織由華商總會領導歡迎各界加入孫秘　訪李星衢表達吳氏意見
page 7	清明節僑胞掃墓之擠擁汽車被僱一空紙料利市三倍
page 7	九龍關禁彩票進口昨已公佈嚴厲執行
page 7	本港洋米入粵尚未有期因各米商未領到證書擬再聯電向政府呼籲
page 7	教育部決停給僑校津貼費
page 7	船政司荷露返英
page 7	應具獨到眼光
page 7	羅傑士　　抵港
page 7	瓊崖考察團旅費減至每人二百元
page 7	兩匪徒截劫西婦掠去金飾約值百元
page 7	三人意外受重傷
page 7	晉省觀光之遊客昨晚已乘車返港
page 7	市政衛生局主席談中環街市改建問題建築費約六七十萬元魚欄決遷往堅尼地城
page 8	薛氏無請律師必要
page 8	爭產巡查關家族祖嘗
page 8	被告律師　促致詞
page 8	警當局組織特務警察隊驅逐乞丐整飾市容保護外埠到港遊客
page 8	又一宗姦女童案被告處徒刑一年
page 8	粵省鹽商反對加稅昨函華商總會懇予援助請願代表談此行所獲之結果
page 8	祭墓人中毒遇救
page 8	一花王失足慘死
page 8	瑪利院開幕禮節
page 8	港大考察團赴衡在桂掘獲古物甚多
page 8	英大使換艦北返
page 8	廠商昨宴劉維熾劉　發　粵省工
page 8	打架案押候再審
page 8	臬庭昨提訊四十餘萬元爭產案事起自前世紀被告八十七名爭產案牽連之大此為新紀錄
page 10	太古塢加建拖船
page 10	意駐港總領易人
page 10	紅丸
page 10	鬥毆
page 10	偷渡
page 10	真光中學將演名劇
page 10	捐助救傷隊　題名
page 10	南非政府謀推進中非貿易派當地華商朱轟回國考察
page 11	汕市當局設處檢查外人護照
page 11	河面兩輪互撞虛驚
page 11	空展會定六一開幕
page 11	組柑桔產銷合作社
page 11	災農請綏催征捐費
page 11	匪攔河截劫元刮渡
page 11	大郎鄉發生擲彈案
page 11	擒獲強拆房屋匪徒
page 11	新會慶祝兒童節之熱烈
page 11	滿天風雨清明江門校書祭義塚墳前度曲表哀思
page 11	北區銅錫源源流出
page 11	陽江聯鄉處指揮特務隊
page 11	番禺各鄉大發畜瘟
page 11	槍決接濟匪黨人犯
page 11	屋起巨雷灼斃婦人
page 11	連天風雨苦力慘況
page 11	汕商庫證請展緩收回
page 14	全國美展先睹記
page 14	設立動機
page 14	平市將設糧食專管機關統籌食糧產銷運輸等事宜市府令社會局草擬計劃書
page 14	進行辦法
page 14	日本文化侵略下東北冀東奴化教育最近情況統制東北教育杜絕革命思想冀東私塾增加偽府將行取締
page 14	蘇聯共黨中委大會史丹林報告破壞份子與間諜混入要津活動甚力指責負責當局不甚了了　置若罔聞抨擊托　洛斯基派主張謂未可忽視痛陳黨內缺點應即改善
page 15	河口麻栗坡沿邊區
page 15	猺山
page 15	儂人
page 15	典予
page 15	卡瓦
page 15	擺夷
page 15	野人
page 15	窩妮
page 15	雲南民族種類調查二共有漢回蒙藏苗夷六種苗夷兩族現均退居邊荒
