page 1	國府明令緝汪
page 7	本月十一晚起減少放水時間因水務工人接駁過海水喉十三晚起可恢復全日供給
page 7	茂生輪平安信
page 7	駐港英艦一覽
page 7	真鐸學校賣物籌募經費
page 7	金融界權威者對我法幣跌價之觀察大洋匯率已獲得一更佳之水準不惟信用無動搖且于國貨有利
page 8	疋頭行
page 8	金山庄
page 8	織造行
page 8	建國教育的路向
page 8	酒樓等
page 8	檀香行
page 8	雜木行
page 8	沙籐行
page 8	南北行
page 8	佛山輪船定期返港傳被Ｘ軍扣留不確
page 8	牛皮行
page 8	參茸行
page 8	中藥行
page 8	牛羊行
page 8	果菜行
page 8	燕梳行
page 8	礦業行
page 8	金葉行
page 8	糖羌行
page 8	洋貨行
page 8	鮮魚行
page 8	金銀業
page 8	何海籌談桂省實力雄厚Ｘ如進犯必不得逞
page 8	劫艇殺人疑犯昨日再度提堂
page 8	難民工業社定期開賣物會
page 8	基隆街之鎗聲原來印警追捕兇徒
page 8	美機恢復澳站
page 8	彌敦爵士遺產俟值萬九千餘鎊
page 8	兒童保育會今日改選職員
page 8	一九三八年五十五行商業之迴顧一柴炭西藥求過于供兩行均獲利各江航業因交通梗阻大受虧折
page 10	申報杯女籃義賽今晚開始知行對西南中華戰華雄
page 10	東方會決組隊參加水球聯賽
page 10	華強小型球隊今日出發征澳
page 10	婦慰會主辦之小型球義賽今日舉行東方對聯隊南大戰民大
page 10	華人水藝改期
page 10	伯裘杯今開始元朗首遇鐘聲
page 10	友誼排球賽改期
page 10	棒球聯賽第二週中華重逢美艦今午二時半再見高下
