page 1	英蘇談判之進展
page 5	大澤我軍再取攻勢
page 5	Ｘ艦繞犯七堡不逞
page 5	新鶴路戰事無變化
page 5	我軍猛攻Ｘ退篁莊
page 5	我游擊隊襲Ｘ機場
page 5	中山已增加封鎖線
page 5	北街Ｘ艦突增多艘
page 5	沙坪一地仍在我手
page 5	十四Ｘ機襲汕續詳
page 5	Ｘ犯舊三水再被擊退Ｘ圖再犯鶴山高明河口新到Ｘ艦兩艘
page 5	菉蘭之Ｘ進擾馬嘶
page 5	莞龍之Ｘ進侵菉蘭後有沒東江進擾博羅之勢我軍已嚴密監視Ｘ分擾馬嘶等地Ｘ即日退回莞龍
page 5	第六游擊區司令部已成立
page 5	桂糧管局調劑民食
page 5	江村高　之Ｘ
page 5	收容淪陷區民眾予以生產職業
page 5	李漢魂十七日就省動員會主委兼職
page 5	十六日Ｘ機三次襲汕損失情形續詳
page 5	廣東漁鹽業視察團出發視察分東西兩區各遣派一團主要工作調查指導並重
page 5	莞Ｘ昨又出擾東坑
page 5	莞城Ｘ軍最近狀態
page 5	我游擊隊夜襲Ｘ營兩誌
page 5	向寧陽新鶴兩路進犯之Ｘ被我軍猛攻砲戰甚烈我軍已向江門逼進Ｘ退篁莊北街Ｘ艦艇突增圖沿河進擾Ｘ犯海口不逞沙坪仍在我手中山封鎖各河道沿邊仍安謐
page 6	東路
page 6	第四區行政督察署正式接收東增寶三縣
page 6	接收東增各縣
page 6	厲行戰時行政
page 6	行政區舉辦生產事業辦法
page 6	北行八日紀續
page 6	四月廿七日
page 6	北路省道行車處裁撤
page 6	新順海面Ｘ艦突增
page 6	北路
page 6	組織救濟總隊積極救　戰區難童
page 6	林廷華調升師長訊
page 6	李福林奉蔣電召赴渝
page 6	韶關近態各界團體紛紛北移
page 6	各團體移韶
page 6	Ｘ機連日又飛新台各地投彈台狄公路車站全座被燬
page 6	中山　備戰中嚴禁擅離職守
page 6	我機隊飛廣州散放傳單
page 6	動員會改組
page 6	游擊班畢業
page 6	Ｘ艦兩艘又窺台山
page 6	黃連勒流秩序漸復順德陳代縣長之談話
page 6	古鼎　曉論鄉民撥祖嘗充戰費
page 6	粵北江緝私處已裁撤
page 6	東北兩路戰訊續詳十二集團梁師增東奏捷粵北我突擊隊最近戰續
page 7	賊劫客艇少女慘死
page 7	夜劫尼庵槍傷小童
page 7	歐陽予倩壽辰戲劇歌詠界同時義演寓祝壽于救國意義重大壽禮交賑聯會賑濟難民
page 7	香港游泳家麥偉明出獄
page 7	救濟欖鎮米荒欖鎮同鄉會今晚會議
page 7	李應林今赴美接受奧柏林大學名譽學位
page 7	我國政府擬收回政記公司四輪委派招商局為全權負責人俟辦妥法律手續即可接收
page 7	港越貨運擠擁行走兩地輪船凡卅艘平均每兩日有一艘抵港商人運貨仍須預定倉位
page 7	前駐漢蘇領事泰拉巴林抵港
page 7	英艦三艘留駐廈門俟鼓浪嶼事件解決始赴滬
page 7	新會邑僑積極救濟桑梓
page 7	新界又發生兩劫案三賊劫客艇少女慘死平山石埔村四賊光顧出家人廣善尼庵遭劫一小童被槍傷
page 8	違犯遞解法令
page 8	馬頭圍道劫案
page 8	大道中紅丸案
page 8	景光街械劫案
page 8	勒馬洲強劫案
page 8	跑馬地截劫案
page 8	許世英將返港
page 8	加拿大華僑又捐萬金救國
page 8	廣大同學會資助流亡學生
page 8	鴨　洲血案昨日提堂疑犯十五人被控犯謀殺罪
page 8	汽車輾　小童禦者不顧而去
page 8	流落新界難民昨送入集中營
page 8	救濟漁民方案已例入生產會議討論
page 8	兩人挾恨行兇一少年被斫重傷
page 8	禁售腐爛生果衛生局警告小販
page 8	大埔籌設留醫所
page 8	高級法庭昨開審刑案即日判決劫案三宗劫匪六名分別判處有期徒刑大道中紅丸案被告入獄三年
page 10	海軍先開紀錄
page 10	神腿球怪施威
page 10	國軍包辦錦標
page 10	比數成四與一
page 10	青來三場乙組籃球華雄嶺英廣中告捷
page 10	小型足球聯會二屆職員產生
page 10	學界排球賽昨日六場戰績
page 10	菲台杯選手昨過港演工夫兩幕雙打和勝各一今日仍有戰事四場
page 10	旭和杯再決雌雄南華榮膺冠軍四比一擊退海軍聯華隊包辦本季六大錦
