page 1	墨索里尼之態度觀測
page 5	Ｘ犯定安嶺門之激戰南路沿海Ｘ艦無甚異動
page 5	潘幼齡談容桂兩村Ｘ軍動態順屬Ｘ軍退減我游擊隊活躍
page 5	中山線近無戰事
page 5	我空軍飛襲西江Ｘ陣大路墟我Ｘ炮戰官窯之三次克復
page 5	石龍Ｘ犯菉蘭我軍堵擊在相持中
page 5	東北兩路最近戰況東路屏風嶺下我Ｘ激戰北路戰事又似沉寂
page 5	增城Ｘ兵開援中新
page 5	屏風嶺下我Ｘ激戰
page 5	朱村附近斃Ｘ數百
page 5	我軍炸斷貝坑橋樑
page 5	小樓Ｘ陣被我炮轟
page 5	疏散人口物質
page 5	嚴密防空設備
page 5	韶關實施初步戒嚴維持治安防範奸宄
page 5	李漢魂撥款救濟失業歸僑
page 5	實施初步戒嚴
page 5	Ｘ軍強征壯丁編隊
page 5	北路戰事似緩實緊
page 5	廣州偽維持會委被擊身中兩槍
page 5	粵省府合署辦公決定六一實行
page 5	新鶴一帶戰事仍劇烈Ｘ圖分犯大澤棠下均不逞中山沿邊無戰事
page 6	五區團隊入城進駐
page 6	嚴查奸宄搜捕餘孽
page 6	桂洲Ｘ軍炮擊大
page 6	南始曲邊匪追剿中陽清邊境匪氛復熾薛漢光談圍剿三縣邊匪經過
page 6	惠陽各界發動根絕Ｘ貨
page 6	禺南各鄉糧食將絕每元僅購米二斤半
page 6	劫後會城瘡痍滿目
page 6	撫輯流亡辦理善後
page 6	四月廿六日星期三
page 6	北行八日紀續四月廿五日星期二
page 6	父子參戰之壯烈犧牲殺斃Ｘ兵六人
page 6	裏水省城渡三次被劫擄去兩客損失數百元
page 6	番禺政警隊協防中山
page 6	合浦縣青年動員衛國成立青年軍團
page 6	陸豐自衛總隊首次會議決召集壯丁學術演習
page 6	省糧會設卅五處運輸站收容所救濟由戰區退出難民
page 6	兒童保育院
page 6	我軍復入新會城詳紀Ｘ於十一日退往江門我五區團隊開入城內
page 7	兒童保育會將開游藝賣物會籌款本月廿日在九龍舉行六月三日在何東住宅
page 7	商業凋零人民叫苦
page 7	鐵器缺乏達於極點
page 7	澳洲商人遊日過港談日本經濟漸趨崩潰田園荒蕪工廠多數倒閉居民門銷亦搜去製軍械
page 7	南海同鄉會短期內可成立
page 7	警探嚴查鴨　洲打架案
page 7	警控搜捕歹徒
page 7	北平游擊隊極活躍
page 7	尚仲衣追悼會數十團體參加
page 7	防空當局辦華人特別班
page 7	帝航公司舉辦海空聯運利便遊客參觀紐約美展
page 7	本港籌設無線電話藉與英屬各地互通消息
page 7	台山商會舉辦平糶成績
page 7	捐金購債彙誌
page 7	中山隆鍾同鄉會昨歡迎新會員
page 7	中英警察聯防後新界盜匪已稍歛跡深圳軍事當局曾鎗決匪犯數人港方亦獲疑犯多名現在審訊中
page 8	光榮的史蹟
page 8	出國的計劃
page 8	賑聯會昨開聯席會議名劇黃花崗已定期重演
page 8	組織與生活
page 8	偉大的義演
page 8	僑港英人大部份已登記
page 8	扶輪會昨例會普樂演講法律界趣聞
page 8	循道會賣物會港督任名譽會長
page 8	德機今飛河內
page 8	英新建水雷艦本月內可抵港
page 8	奧利沙輪航次發生火警船員搭客八十四人獲救
page 8	兇徒斬傷路人
page 8	霍亂症漸流行十日內發現八宗
page 8	警探被控毆人證人多名極力指證
page 8	酒樓茶室允許難童戶內賣花定本月廿八日舉行
page 8	中國救亡劇團之訪問偉大的義演快將實現既出力又出公　費三千餘元全部收入將捐贈各界賑聯會
page 10	宵來籃球複賽星島好夢難償一分之差竟失寶座半球佔先南華稱霸
page 10	菲律濱台杯選手今日過港作表演賽逗留兩天共戰六場
page 10	小型足球
page 10	足球總會昨分配國際杯賽善款共七千七百元
page 10	知行中學首屆陸運大會改本月十九廿一兩日舉行
page 10	旭和杯南華對海軍今再決雌雄下午五時會師加山
