page 1	大小洋比率問題之議論三此與粵人切身利害有關分日刊登以供社會研究
page 6	孫科薦李仙根接任中山縣長
page 6	汕團體迎李漢魂李氏元日覆電只謂行期未定
page 6	粵漢路衡廣段由衡州試車來粵
page 6	廣州養鴿家籌組信鴿研究會昨已設立籌備處
page 6	省會公安局增設特種警察
page 6	歸國華僑發明糖水代電油
page 6	小北小販請願後南關小販之響應
page 6	粵空軍人員今日起程赴杭州黃光銳廿日乘機飛往
page 6	金屬礦業公會請撤退礦專賣呈文今晨派代表謁當局請願
page 6	廣東全省民營電業聯合會
page 6	廢除苛雜審議會
page 6	前大元師府參軍黃惠龍
page 6	省黨部卸任常務委員兼省參議會副議長彭卓任于上月間隨同林翼中離粵
page 6	省會六安局昨又廢曆七月中市民多有燒衣陋習
page 6	寶塔圖新印花
page 6	空軍新任兩　長
page 6	廣東防空委員會
page 6	交通部長俞飛鵬
page 6	憲兵司令部之新猷維持軍風紀新辦法增組廿一隊及特務隊
page 7	風行迅速兩易風燈
page 7	海傍舖戶紛設水閘
page 7	風砲三聲全港震動
page 7	江貞艦長鄭耀樞談
page 7	江貞楚泰此來任務
page 7	逸仙永健將往瓊州
page 7	先開黃埔聽候調遣
page 7	江貞楚泰兩艦昨日抵港將駛往西江協助永績鞏固防務中山艦由瓊北返逸仙將往接防
page 7	中西警察出發巡視
page 7	巨輪錨鍊亦被吹斷
page 7	招牌墮下壓傷少婦
page 7	烏忌白忌浮於水面
page 7	五年來僅見的恐怖颶風昨晚猛襲本港炮聲隆隆全港震動一日之內三易風球
page 8	推行區域
page 8	新運意義
page 8	粵省工作
page 8	留粵三週
page 8	三千萬大借款案已交華人代表審核
page 8	劉景清自組戒紅丸療治所不因東華醫院否決而灰心已得真正慈善家多人勷助
page 8	蕭佛成無晉京意
page 8	潮商請撤銷苛捐代表四人昨已晉省
page 8	各學校紛紛舉行畢業禮
page 8	陳維周已抵西貢將轉赴海防小住
page 8	又一個繁榮計劃建設香港的荔枝灣理想的地帶就是七姊妹與維也納之夜　輝映
page 8	本港西人提議開拓蘭頭島造成工業村移植本港貧民
page 8	深水埔發現瘋人日則蟄居夜則四出遊行內有青年瘋婦企圖賣瘋
page 8	鐵匠墮樓受重傷
page 8	電單車撞傷一苦力
page 8	陶淑女校開展覽會
page 8	閻寶航等過港赴粵推行新生活運動粵初步工作注重清潔規矩留粵三星期再往福州一行
page 10	科學博士梁天回國
page 10	兩人打架一人受傷
page 10	溺斃男子屍已撈獲
page 10	機器會籌辦研究所
page 10	中國雷電藥廠近況
page 10	東華義學複考教員
page 10	志如女校復辦招生
page 10	德明中學設分校
page 11	無賴抽電輸人頭捐
page 11	縣政府征附加建署費
page 11	荻海河面劫船續訊
page 11	參會　撤食鹽專賣
page 11	軍橋完成禁封船舶
page 11	黃槐庭離職之準職
page 11	紫洞匪黨猖獗近誌
page 11	駐軍設民眾治療所
page 11	佈告商民須用申鈔
page 11	六圍尚未脫危險期
page 11	撤銷沙頭田畝附加
page 11	縣府令禁火炙治病
page 11	各地西潦陸續退落
page 11	食四眼龜中毒斃命
page 11	各屬行商續請撤銷統制及苛捐
page 14	登臨縱目百感交集山海關現在之形勢祇見滿洲旗與日本兵多留一刻便有人監視你
page 14	山海關工廠
page 14	田氏中學
page 14	天下第一關
page 14	十四年前列寧預言西國將成蘇聯第二成功與否可於十二月內卜之
page 15	義軍趙尚志部聲勢日趨浩大器械精銳戰鬥力異常雄厚師行所至日偽軍望風波披靡
page 15	環繞中歐和巴爾幹的國際糾紛
page 15	上海市識字教育成績去年畢業生十八萬餘人本年度經費確定仍行續辦
page 15	辦理經過
page 15	各區校數
page 15	所設班數
page 15	私校人數
page 15	受教人數
page 15	悲慘的戰跡
