page 1	一二八之六週年
page 5	Ｘ犯我封鎖線
page 5	河清Ｘ築機場
page 5	Ｘ機狂炸廣海
page 5	Ｘ仍無力西犯
page 5	西江Ｘ軍以攻為守　集三水圖窺要四連日運兵俱向三水北境集中我沿綏西兩江佈置大軍迎擊
page 5	高信談黨政軍之整理各縣黨部一律改組實行領袖化政治設施增加專員及縣長職權反攻軍事已屆緊張
page 5	黨務實行領袖化
page 5	政治實行責任化
page 5	反攻軍事之開展
page 5	Ｘ艇抵三洪奇似有進犯大良意
page 5	機艦擾合浦
page 5	沿海Ｘ艦日來無增
page 5	霄邊Ｘ昨竄回北柵
page 5	限期破壞Ｘ交通線
page 5	計劃靈通東惠消息
page 5	Ｘ機在天堂圍肆虐
page 5	東路軍防Ｘ侵擾各地令各縣限期破壞Ｘ交通線東寶惠三縣電話將計劃建設宵邊Ｘ昨退回北柵Ｘ司令部亦遷移大鏟海面艦近無增加各地均安謐
page 5	省衛生處增設省立醫院
page 5	全粵淪陷地分為三游擊區
page 5	各縣囚糧由縣政府墊撥
page 5	江門破獲歹徒謀亂機關自稱為人民抗Ｘ義勇軍捕獲多人解游擊司令部
page 5	紅十字會救護隊赴東北江服務
page 5	東寶兩縣最近之政聞懸紅購奸恢復司法
page 5	我空軍廿五晨飛炸三灶島Ｘ汽艇圖犯中山海外封鎖線不逞河清之Ｘ趕建機場九江Ｘ又突增
page 6	花縣Ｘ軍調動甚忙河口Ｘ增兵在新墟登陸軍田及花縣已無Ｘ蹤河口有Ｘ艇四十餘艘
page 6	花縣各地Ｘ軍近情
page 6	西江軍情復告緊張
page 6	廣州淪陷後市區決死隊殲Ｘ記周少保決死殺Ｘ之戰績追述
page 6	徐景唐派員暗查各地煙賭
page 6	軍委會令禁阻礙鎢運
page 6	我空軍連日飛東莞散傳單
page 6	中順聯防守土抗戰因我軍反攻三灶Ｘ機調防廣州
page 6	金銀糧食嚴禁出口
page 6	三灶Ｘ機調防廣州
page 6	沿海Ｘ船往來不定
page 6	中順寶行聯防守士
page 6	Ｘ機轟炸瀧水貨渡連投四彈均不命中
page 6	新會妓女參加還債運動並選舉敬后備以鼓勵
page 6	新會當局改善籌餉辦法杜絕流幣病民
page 6	守備區昨成立嚴正任指揮官
page 6	江門醒民報局運報紙被截搶
page 6	省府派員組毀路視察團下月將到新會視察
page 6	西北江戰區旅行記
page 7	外部訓令駐港簽證署慎重發給入滇護照須有殷實保家始可發給以免漢奸得入內地活動
page 7	滇省嚴密檢查旅客
page 7	外部訓令慎重發照
page 7	何明華昨赴滬出席英租界聯合救難會
page 7	新靚就歸國在美募得救護車五輛
page 7	深圳難民技術登記將給予各種農牧工作俾不至由難民變懶民
page 7	猶太難民四百餘昨過港
page 7	歌姬義唱獎品明日在陶園頒發
page 7	潮商慰問難民
page 7	沙脫牧師抵港力贊我國抗戰精神
page 7	保育院第三分院明日正式開幕
page 7	港僑隨軍團昨已開赴前線
page 7	Ｘ在清水灣偷攝軍事地帶被英軍官發覺駕車逃遁港府加派警探嚴密防範
page 7	水務局解釋繳納水費責任規定業主或其代理人負責首季水費徵收辦法已公佈
page 8	北海安謐如常　Ｘ　時　偵察
page 8	楊壽昌追悼會改農曆來春舉行
page 8	民航機之來去
page 8	留港參政員張一麔等昨開座談會交換意見準備大會提案決下月十日前赴渝出席
page 8	清理遺產上訴案被駁回
page 8	博羅籌賑會明日召開會議
page 8	普樂爵紳演講為　宿貧民呼籲
page 8	中山商會籌辦難童學校
page 8	瓊僑代表大會通過瓊僑聯會組織章程文字略加修改後明日可發表決月助海南醫院經費一千元
page 8	華探鎗石匠陪審員謂死者死於不幸
page 8	二十七人被控違例養豬
page 8	粵省銀行在游擊區內逐漸復業已疏散之職員仍得復職但須向總處填具請求書
page 8	金舖報失黃金
page 8	婦人路遇搶匪
page 8	破獲兩字膽廠
page 8	竊單車疑案押候
page 8	文慶里發生小火
page 8	Ｘ圖阻止外機飛　淪陷區上空竟向英美法德等政府提出警告
page 11	友誼球賽彙誌
page 11	校際乒乓賽九龍榮膺冠軍
page 11	港冠軍與九龍選手擬再舉行乒乓賽
page 11	記者體特會積極發展體育
page 11	南征歸來後雛鳳逢香港會今日下午四時在加路連山光華戰米杜息於掃桿埔場
