page 1	美國加強國防單位
page 7	上水林馬坑
page 7	汪角洗衣街
page 7	印警文星被控鎗殺同侶
page 7	菲律濱華僑購機一隊捐獻祖國並訓練大批飛行員回國效力旅美各埠僑胞亦有同樣舉動
page 8	頗多警句
page 8	下車伊始
page 8	蘇芹蓀演講英國人的傅統思想英國情報部遠東局播
page 8	香港發展
page 8	防務問題
page 8	代督居止
page 8	誤殺案昨詳臬兩被告自認　死者
page 8	利威行劫殺案上訴被告不服臬庭判處會審庭已定期複審
page 8	購軍械被騙案詳臬證人述雙方接洽之經過
page 8	匪徒截劫路人
page 8	又一貨艇被劫
page 8	南華西報代表市民為諾爾頓代督進一言列舉九要點請縝密考慮願與當局合作克服難關
page 10	宵來乙籃決賽培英榮獲冠軍四十一比卅七克保羅補賽南商輕取太古隊
page 10	本星期六晚港九均有游泳對抗七時半西青鐘聲東方角逐九時半域多利與勵進爭雄
page 10	學籃亞軍決戰昨因雨未終場明日再決雌雄
page 10	華人游泳會八一三舉辦獻金運動本星期六與港大作游泳對抗增設健身班添置器械一大批
page 10	記者體育動態
page 10	二屆水運會積極籌備中
page 10	陳津紀擔任游泳團教練
page 10	小球隊今日在加山練習
page 10	星島歸鴻四
page 10	今日之夏令籃賽
page 10	星島南征足球隊淨勝檳城聯隊三球
page 10	中華二次水藝成績甚佳
page 10	港市美匯報好英匯平穩申電趨鬆
