page 1	粵省其將推行新運乎
page 5	法官被控瀆職案羅釗平呈請辭職
page 5	黃埔軍校生迎蔣
page 5	匿客赴暹案東區署解決辦法責令有　之客棧輪船賠償出洋人民之損失
page 5	余漢謀昨抵省詳情中央軍決不再開來廣州中央派三機隊在廣州駐防
page 6	接事
page 6	訓話
page 6	佈告
page 6	十二師兩團續到江門各部先後赴台山轉兩陽集中陳漢光奉命將各部改編將來祇留一通訊連駐紮江門
page 6	七艘淺水炮艦開赴西江梭巡協同駐軍握要分防
page 6	星僑電余漢謀請澈底刷新粵治
page 6	株韶局派員察驗被毀橋樑
page 6	各區綏靖改制訊
page 6	黃麟書去後之教廳各職同仍照常辦公
page 6	粵路三段路局擬合併改組近訊設立全線管理局
page 6	被封各江輪渡昨已解僱一大部出發各江運輸未返者隨到隨即解僱一律給發一個月船租薪伙以示優異
page 6	西南分院趕結束陳達材辭職交代
page 6	宋子良昨接財廳長任新委財廳各科長及秘書
page 7	國際酬酢
page 7	陳策訪晤
page 7	黃參謀談
page 7	九龍關稅務司力勸國人協助海關緝私執獲私貨線人得獎五成線人姓名海關決不宣佈
page 7	半年來出入口貨統計一海關統計署之報告
page 7	輾斃水手案訊結陪審員認死者死於意外
page 7	香翰屏來港慰問陳濟棠談及時局陳揮淚不已
page 7	何犖昨離港歸里
page 7	廠聯會理事會議
page 7	日本學生考察團昨日到港明日晉省
page 7	我國幣制將統一昨晨港圓價格暴跌午前市價為一司令三扁士某方希望港政府出而維持
page 7	海軍部次長陳季良昨乘海籌艦到港既晚與陳策轉輪晉省整理粵海艦隊逸仙等艦留港兩魚雷艦將仍歸廣東
page 8	召集經過
page 8	出席代表
page 8	重要議案
page 8	借款問題
page 8	借款利益
page 8	全體通過
page 8	本息數額
page 8	差餉水費
page 8	電費問題
page 8	保護兒童會月會討論如何救濟街上童丐議決殘廢童丐送醫院醫理並嚴防乞丐利用兒童行乞
page 8	計分兩種
page 8	兒童方面
page 8	勞苦功高
page 8	則必餓死
page 8	旅店中發生竊案
page 8	全港中學會攷昨日揭曉二國文優異竟無一人
page 8	公務員受賄入獄
page 8	跛婦投海幸遇救
page 8	鎗聲一響竊匪就擒
page 8	全港商民大會昨議決請政府借款救濟工商業債額暫定三千萬三年為期週息四厘差餉要求恢復年前辦法值百抽十三消費每千加倫減收二角半工廠對折
page 10	朱汝珍昨已返港孔教學院開會歡迎
page 10	捕獲竊匪招領衣物
page 10	破獲三紅丸機關五被告押候一被告詳臬
page 10	美術界籌開展覽會
page 10	虐待育女被重罰
page 11	番禺各界慰留林世恩
page 11	粵邊穀米仍准輸入閩境
page 11	台山定期焚燬各種毒物
page 11	縣府佈告停收白銀
page 11	淡水設臨時保安隊
page 11	韓文公木像復安居
page 11	雷轟小艇蛋民遇救
page 11	石龍鄉民決鬥受傷
page 11	顛漢傷斃多命慘劇
page 11	儲穀義倉經已修竣
page 11	災民結隊行乞慘象
page 11	台山小艇覆沉溺斃一命
page 11	清遠黃龍嶺忽被巨雷震塌世事至無常高山不可恃平地一聲雷終於倒而已
page 11	汕銀業界之買賣潮銀市暫行停止開盤
page 11	粵省各屬電報局之所在地
page 11	台山舉行乞丐登記以備將來設法收容
page 14	德國擴充領土目的在張揚國威二不在解決過剩人口而在作軍事根據地和日意兩國卻有幾點不同地方
page 14	中德飛航四次成功歐亞巨型抵滬中外來賓前往歡迎頗為踴躍旅滬德僑昨日盛大茶會歡迎尚有一架繼續飛華日內抵達
page 14	機場佈置
page 14	暹羅摧殘華僑教育全受日勢力所支配我應團結自強圖解放
page 15	降落情形
page 15	獻花歡迎
page 15	飛行經過
page 15	加入航線
page 15	一機續到
page 15	內蒙最大喇嘛廟五當召巡禮建築是純粹的西藏式每年在此考選大喇嘛
