page 1	抗戰中之臨全會
page 4	英童校獲冠軍創新紀錄四項
page 4	培正鼎尾戲今日演畢散班
page 4	繼乒乓賽後華員舉辦足球賽
page 4	英美匯兌續縮英銀漲三個半咽
page 4	今日尋杯賽秩序頗豐富南華華巧遇米杜息此戰南　能勝則穩得是屆錦標
page 5	征收原因
page 5	征收辦法
page 5	佈告開征
page 5	商人擁護
page 5	高瀾島敵兵大部撤去敵母艦一艘亦離粵警備部之粵海情報
page 5	梧各機關決定組織民眾辦法
page 5	敵機昨兩次來襲窺襲粵漢寧陽兩路
page 5	廣州土煤油業商請財廳救濟之批復擬定救濟辦法三項
page 5	商會討論分配國債各委員之劇烈爭辯結果通過變更辦法
page 5	省市銀行集款開辦平糶
page 5	黎鴻章陳請省府組難民墾殖示範區先從遂溪辦起逐漸推廣
page 5	梁郁生函華僑勸購國防公債
page 5	民廳令各縣速征收自治捐
page 5	高麗革命黨廣播對日抗戰
page 5	旅越僑胞捐購機款萬元
page 5	華北水利會派員來桂測勘水利
page 5	英大使昨抵省
page 5	港紙市價已無復漲之勢
page 5	杜絕仇貨改裝運粵推銷失地貨物入口特稅昨開征某財政員談征收原因財廳昨正式佈告開征
page 6	芳村發生劫案
page 6	旅暹又被解僑胞歸國汕僑團之歡迎
page 6	汕物價受外匯影響當局已設法調劑
page 6	潮梅修韓江堤
page 6	敵機在各屬肆虐續詳
page 6	移祭款購軍械
page 6	東莞各界組抗敵會
page 6	湖廈鄉截殺案
page 6	番禺敵機擊沉灰船
page 6	夏滘河之奇屍
page 6	匪黨劫售吸所
page 6	戰時之經濟國防與廣東之糧食問題陸
page 6	廣東民食現狀之檢討
page 6	七輿論界應有之認識
page 6	廣東軍管區加緊推行粵全省兵役法軍管區成立後召開徵兵會議商討各　　民
page 7	過港赴粵
page 7	日人請見
page 7	加強粵省國防力量粵府函港僑團募公債五路軍昨又收捐款四千元教　社游藝會已積極籌備
page 7	教育社昨歡讌藝人
page 7	五路軍收雨具捐款
page 7	節省婚費移充善舉
page 7	華商總會收到債款
page 7	辛亥畫展之第五日
page 7	學賑會義款已清撥
page 7	兒童保　會成立期
page 7	救世軍募捐訊
page 7	軍官住宅被竊大批金飾
page 7	敵艦又焚港漁船數艘竟禁漁船在長洲海面捕魚
page 7	華僑銀行被匪騙提巨款捕獲男女疑犯三人搜獲港幣九千餘元
page 7	駐華英大使克拉克爵士昨抵港即午乘軍艦入粵晚專車赴漢轉渝呈國書後留數日仍返港
page 8	大浪海面被賊槍擊
page 8	接應迅速剽掠一空
page 8	賊在艇中煮飯飽餐
page 8	警告掃墓僑民園林官及華民司之佈告
page 8	貨車輾斃小童
page 8	索賄疑案四審
page 8	廣路增開直通快車利便僑胞回鄉省墓
page 8	國防影片公映
page 8	喬治六世郵票本月五日 發售
page 8	來港及赴滬旅客攜帶國幣須先領照數量在五百元以下者可免五百以上不領照即予沒收
page 8	加倫台紅丸案被告一獲釋一群臬
page 8	諾貝爾昨赴滬
page 8	少婦跳樓慘死
page 8	慶祝兒童節游藝秩序已定
page 8	海賊騎劫貨艇貨物　被掠幸未人人
page 10	車輛失事統計
page 10	老婦投海遇救
page 10	非禮案昨提堂
page 10	昨日痘症統計
page 10	學生論文比賽今午在港大舉行
page 10	自用汽車車主公會年會
page 10	駱克道兩汽車相撞兩禦者均受傷車亦毀壞
