page 1	德意兩獨裁巨頭會晤
page 8	婦慰會餐舞會六日開始定座
page 8	英籍婦孺繼續疏散將由專輪運赴澳洲三百餘人請求豁免均遭拒絕非有特別事情一律不准返港
page 10	雙十節足球義賽華聯陣勢定七日遴選
page 10	公開排球賽程
page 10	足球聯賽今日甲組三場戰事東方逢米軍光華出擊九龍會海軍迎戰香港會
page 10	華人游泳會十日慶祝廿週年紀念屆時有豐富遊藝助慶今日舉行舢舨單人賽
page 10	四屆德權鼎聯賽今日兩場角逐
page 10	港菲游泳對抗港代表昨選定
page 10	水運消息彙誌
page 10	籃球義賽秩序正式排定
page 10	東方音樂班近訊
