page 1	堅定抗建信念
page 5	桂國大婦女代表候選人已選定郭德潔十四人名單電呈中央
page 5	軍委會明令取銷通緝張之英
page 5	軍風紀巡察團申誡戰區軍民官吏瀆職殃民自當執法嚴懲
page 5	寶安有走私機關縣府飭屬查緝幸縣長昨赴韶述職
page 5	粵小學教師實行加薪照原支額月增國幣二至四元由下月起分由省庫縣庫支給
page 5	日艦窺伺陸豐被擊退惠來海面日艦焚漁船
page 5	救濟南海饑民之獻議實行施粥運動
page 5	游擊指揮所嚴禁索勒過境人貨
page 5	中山三鄉偽軍昨被日軍繳械
page 5	日軍在新鶴線被挫後江會各線戰事又已沉寂各地日偽軍最近之狀況中山偽軍日多情勢混亂呂春榮部被迫移至中山前山灣仔仍然嚴密封鎖
page 6	美國朝野同情中國
page 6	對日禁運將見實施
page 6	各方招待今日飛渝
page 6	陽江縣府統制沿海船舶續詳擬定辦法頒佈施行
page 6	粵北大戰再展開日軍五路北犯被殲逾千從化日軍再度北犯上四九墟激戰新街日軍三路竄擾在百步梯被創
page 6	從化日軍再舉北犯
page 6	上四九墟米　激戰
page 6	新街日軍三路北犯
page 6	惡戰展開日軍潰敗
page 6	芝加哥華僑慰勞粵省將士匯呈國幣五萬元
page 6	傷愈官兵重上前線
page 6	中山偽挺進隊勒收貨船行水
page 6	去年日取我資源達二億元以上粵軍當局亦屬嚴防禁買賣日貨及封鎖
page 6	四戰區政治部主會易人
page 6	中國友人費吳生到桂林在各界歡迎會上演詞美人援華行動見諸事實者甚多對日禁運事最近數月內可實現
page 7	林語堂今飛渝
page 7	港各船塢嚴防奸細活動重新整理工人通過證
page 7	前本港代估價官參加抗戰殉國
page 7	普益商會新職員昨選出郭泉黃仲霖任正副主席
page 7	賑聯會七十二次會議東華醫院交回救濟組存款
page 7	東華醫院來函
page 7	一週財政報告
page 7	飛剪機未到港
page 7	長沙會戰定廿六旦復映
page 7	警探搜獲大批偽幣七人被拘押候審訊
page 7	貨船槍械登記長槍約六百枝
page 7	梅光培昨大殮定廿三日出殯
page 7	英帝航機迪里亞號曾在意境被留意當局指該機擅入禁區盤查兩小時後始予放行
page 7	揮刀傷人兇犯入獄四年
page 7	警探奉令嚴密防衛市區利威案犯仍未愈
page 7	昨得雨水寸餘
page 7	郵電檢查處解釋戰時取締電訊法例華文明碼亦在禁用之列電碼刊本不得私擅收藏
page 8	鮮魚價昂釣艇獲利
page 8	失學失業人數激增
page 8	東華醫院賣花募得六千餘元
page 8	華人代表等歡送英服務團今日分三個地點舉行
page 8	臬庭判決行劫貨艇案八人處徒刑四人獲釋
page 8	玩弄手槍西女自傷肩膊
page 8	鄒敏初氏逝世今日大殮出殯日期未定
page 8	衛生局昨例會
page 8	臬庭提審非法墮胎案兩被告今日將到庭自辯
page 8	馬利醫院肺癆病房有人滿患騎樓亦須臨時增設病床每日留醫者約五十五人
page 8	漁民協會主席談話春季漁業僅釣艇獲利近日鮮魚來源缺乏價格暴漲港外日艦縱橫漁拖損失最大
page 10	華雄體育會續辦夏令籃球選出九委員負責賽會事宜
page 10	昨日學界排球賽高級漢中勇挫華仁初級華仁小童保羅告捷今日三組各有兩場戰事
page 10	公開男子籃球今夕三場戰事
page 10	乒乓義賽消息
page 10	籃球裁判會舉辦裁判員訓練班廿九日止截報名
page 10	東方足球隊犯澳四比二挫無良南征隊改明日出發隨軍人選正式決定
