page 1	今後之東南歐
page 5	台山團警圍剿沙堤匪幫傷斃　匪捕獲兩匪
page 5	東江游擊隊襲攻石龍日偽
page 5	潮汕我軍越桑浦山進攻菴埠我加強韓　兩江封鎖
page 5	菴埠外圍已有戰事
page 5	華振中昨檢閱戰場
page 5	各鄉之善後問題
page 5	加強韓　兩江封鎖
page 5	某軍要觀測犯中山日軍似有準備撤退模樣偽縣府組織仍係難產已佔關卡仍未暇兼顧三廠一帶昨晨又大火日軍圖溝通容奇猛犯中山三區
page 6	聯群寄居相安有素
page 6	橫禍飛來骨肉離散
page 6	省府發揚廣東民族精神徵編英雄傳略
page 6	粵建設廠發展農業之進行技術經濟人才造林各方面俱有良好成績可計日程功
page 6	改進稻作
page 6	厲行冬耕
page 6	推廣植棉
page 6	捨身肉搏手殺日頭
page 6	事後調查損失約計
page 6	獎進畜牧
page 6	改良蠶絲
page 6	梅縣附城地震
page 6	衛生處在韶關設防疫院續聞
page 6	惠陽省行舉辦耕牛貸款
page 6	日機兩架轟炸博羅鐵崗戲棚死傷鄉民廿餘人
page 6	普遍造林
page 6	建中心區
page 6	農林人才
page 6	農村合作
page 6	南海太平沙之一幕血戰日隊長當場授首毀家蕩產妻兒被擄忍無可忍浴血抗戰
page 7	大會秩序致祭代表
page 7	通函各界參加公祭
page 7	香港最高法院審理大錢債處一千九百四十年雜案第九宗為同安輪船有限公司暨一千九百三十二年公司則例事
page 7	北大同學募紀念金
page 7	全港佛教開會追悼
page 7	港府各機關未改電話機構
page 7	日軍來港大購糧食白米二千包昨運廣州尚有萬餘包存倉待運
page 7	英國航商無法發展
page 7	省港交通近態英輪僅得一艘來往
page 7	港府在英聘征稅評議員
page 7	不履險地搭客廖廖
page 7	貪利商人走運貨物
page 7	澳門運港魚菜昨僅得數十擔
page 7	響應春禮勞軍酒樓工友熱烈增捐洋務工會推行一仙捐
page 7	洋務會
page 7	貨艇遇風沉沒
page 7	西貢起兒賊贓疑犯十二人被捕
page 7	中央常務委員會定期追悼蔡孑民先生本月廿四日聯合各地同時舉行北大同學會積極籌募紀念基金
page 8	擔桿山盜匪猖獗墾牧場一兩職員被擄去現已偵知下落設法營救
page 8	劫案疑犯獲釋
page 8	新會僑商救濟故鄉米荒
page 8	港造船業發達為英殖民地之冠
page 8	業主迫遷又告失敗住客得直兼得堂費
page 8	施賑廚之呼籲
page 8	竊漢冷斃道上
page 8	長洲海面又　水雷爆炸
page 8	深水　南昌街械劫案昨判決被告入獄四年兼受笞棉胎工人劫案亦判決
page 8	五百銀圓累命筲箕淡海面溺斃一人
page 8	商會司理解釋節省陽光法例
page 8	嚴懲販賣紅丸人犯五被告各入苦工監三年
page 8	金素琴昨抵港將在利舞台演劇
page 8	大學生聯誼會定期行成立禮
page 8	虎戲團又義演為中國婦女會籌款
page 8	中國文協會主辦歌詠比賽分獨唱與合唱兩種
page 8	越華僑服務團在前線之工作經副團長來港徵募藥品
page 8	九龍諸聖堂定期賣物籌款
page 8	攜舊衣直河內必須報明件數
page 8	荔枝角道圖劫案昨判決非法藏械案再押候
page 8	中英邊境私梟大活動偷運日貨月逾百萬元武裝打手配備機關槍手溜彈新界鄉村躉貨機關竟達百餘處
page 10	東方會足球隊下月九日南征隨軍人選尚末決定女籃球隊偕行延擱
page 10	精武會組隊參加本屆籃球聯賽大生杯頒獎仍未有期
page 10	東南大戰前奏入場券明日開始發售小組會開會討論進行
page 10	足球總會重訂本季足球秩序公佈
