page 1	雄獅展翼矣
page 5	粵省推行鄉鎮保公有林以松杉樟桐合桃茶樹為主第一行政區數縣為實施區
page 5	幸縣長之談話
page 5	日軍撤退另訊
page 5	我正規軍抵達某地我將反攻中山江會偽中山縣府難產中日方派農本暫署小欖外圍仍激戰
page 6	太平場再展開劇戰
page 6	粵路日軍竄擾神山
page 6	中央明令撤銷余漢謀處分原電
page 6	粵省廿九年度施政中心工作項目頒佈全省一致加緊實施
page 6	弁言
page 6	目次
page 6	會計
page 6	衛生
page 6	教育
page 6	交通
page 6	廣州偽市長彭東原赴日訊
page 6	台赤沿海日艦日機這窺擾在台山境投彈炸斃磚窯泥工
page 6	從化戰事激烈我再攻太平場衝入水南粵路日軍數百竄擾神山我游擊隊夜襲江村得手
page 7	迫于環境或增電費
page 7	環島工程全部完成
page 7	東區教聯會請陳公哲演講
page 7	擴充業務增加股本
page 7	有得銀行溢利決定支配辦法
page 7	商賑會慰勞金昨匯出八萬元將再討論一碗飯運動婦女四聯會賑澳災民
page 7	再討論一碗飯運動
page 7	女會代表赴澳　賑
page 7	本年二月份港出入口貿易續增進出口貨總值九千五百萬較去年同月增二告一百萬
page 7	鏹水淋傷兩人皇后碼頭發生行兇案
page 7	廣州商販運菜來港應市
page 7	四會賑會加緊工作
page 7	洋酒伙食行籌賑會
page 7	前駐華荷公使郝培克昨過港
page 7	衛生局將會議
page 7	非常時期煤價暴漲電燈公司或增加電費威健臣在股東會中報告本港居民又將加重負擔
page 8	開徵年份在考慮中
page 8	稅餉專家尚示到港
page 8	赤柱監獄竊案
page 8	帆船沉沒七人遇救生還
page 8	日輪擅禁華警事件警司已報告上港府　該華警曾被日兵兩批其頻
page 8	六人持械劫艇案判決各被告入獄兩年或三年
page 8	藏手槍案詳臬
page 8	女丐病死路旁
page 8	青年勵志社將成立聘吳鐵城等為名譽顧問
page 8	九大關新稅費
page 8	醫務部將遷址
page 8	孤軍營中誤殺案再提堂
page 8	法亞洲艦隊司令迪可斯將來港
page 8	瘋人五名逃脫
page 8	偽戲票案判決朱少波無罪獲釋
page 8	為孕婦墮胎案押候下星期再審
page 8	防空處指導車主掩蔽燈光辦法
page 8	圖劫疑犯提堂
page 8	華民司解釋遷移墳場原因
page 8	華人置業公司昨開股東年會該公司去年獲利十餘萬
page 8	開本港新紀錄保險銷貨場出現
page 8	港府擬下月開徵戰稅財政及稅務當局在加緊籌備中戰稅法案下星期可通過三讀會
page 10	澳記者體育團來港報聘成績足籃球港隊奏凱乒乓賽客軍告捷
page 10	澳隊大軍昨晨抵步
page 10	乒乓比賽港隊敗績
page 10	開會歡迎濟濟一堂
page 10	修頓球場我軍告捷
page 10	籃球劇戰港方僅勝
page 10	小組委員會判罰軍糧球員根士頓明年元旦前不能出場
page 10	今日足球聯賽香港會迎戰蘇軍
