page 1	蘇聯對日態度漸顯
page 8	土布織業工友籲請資方補助伙食費萬物騰貴工人生活實苦
page 8	東區教聯會增辦義學多問收容廣州來港失學兒童
page 8	民生社賣物會明日上午開幕敦請女華民司剪綵
page 8	陳倩如被騙案註消首被告郭玉冰無罪獲釋
page 8	與其男友
page 8	設製片場
page 8	軍械庫職工優恤辦法長工一次過給二百五十散工祇增工資不設恩恤金
page 8	國展會將開幕柬請各界人士觀禮
page 8	商人報失千金
page 8	糖商會新職員昨日已選出
page 8	電車輾斃盲人
page 8	捕獲劫艇疑犯
page 8	筲箕灣謀殺案疑犯三人提堂
page 8	賭博之日
page 8	撥扒為戲
page 8	元朗籌振會昨舉行獻車禮顧祝同派代表接敗
page 8	雞洲劫艇疑案三被告自認係逃兵借艇逃遁並非行劫
page 8	遭難美教士般咸遺族抵港
page 8	印刷工友改良待遇問題勞資雙方明日再談判
page 8	馬場捕獲竊匪判處徒刑三月
page 8	藏械案昨提堂
page 8	借款不遂行兇六國飯店售伴被控
page 8	串竊空郵案判決兩個郵差均處徒刑主犯馬惠文畏罪不敢到庭千元保金充公仍下令通緝
page 10	本星期日足球義賽兩場華聯人選經已產生國際杯陣容亦排定
page 10	南華陸運大會定廿九日舉行
page 10	　籃球戰績
page 10	港九學生會操擬定標準項目
page 11	三角同盟內幕
page 11	麥日之死
page 11	史太林的警備
page 11	法蘭亭素描
page 11	流線型飛機
page 11	美國的空軍現狀
