page 1	俄國亦施行平行外交歟
page 8	足球季下月開始四華隊整陣忙各會健將與去屆微有出入球怪將再作馮婦效力南南
page 8	南華水藝展期
page 8	香港孔聖會第十屆徵求福照隊冠軍徵得芳名列下正隊長曹福照君經手
page 8	南華續辦歌詠班
page 8	夏令籃球賽戰績
page 8	多年以來
page 8	在經濟上
page 8	原有計劃
page 8	凡一城市
page 8	本港陸軍總司令賈乃錫巡視新界防務對當地防軍長官　授一切機宜必要時破壞邊境橋樑阻Ｘ前進
page 10	國幣毫券續升舊中紙桂鈔無變
page 10	本港股份市昨更呆滯兩股份會成交僅值萬餘元
page 10	八九金價暴漲
