page 1	天津事件英日將開談判
page 7	立法局昨開會宣佈防空進行及經費擬資助私營工廠建築防空室並設立經營防毒面具之組織
page 8	領證新辦法今實行
page 8	赴澳輪機均須檢驗
page 8	日本宣佈港為疫埠
page 8	緊急救難會兩特委會職員
page 8	澳馬會求利便觀客
page 8	兵災會贈旗第二日之成績
page 8	中央賑委會決再撥款救濟難民第一次二萬元今日可交付潮僑昨開會討論散賑辦法
page 8	救濟學生會半年來之成績
page 8	四千元巨竊案押候兩日宣判
page 8	法大使昨過港
page 8	報際象棋賽本報勝華僑南中隊又勝南強
page 8	警探搜飛鏢場兩人被河訊辦
page 8	劫貨艇犯入獄
page 8	高陞茶室大擴充
page 8	迷姦少女疑案
page 8	車輛失事統計去週死二人傷六十十九人
page 8	滬留港同學會開週年紀念會
page 8	中華體協會昨日舉行會議商討各部預算
page 8	南遊日記二六月三日
page 8	宵來水球戰績南華輕敗西青會華人不敵域多利
page 8	排球友誼賽仿林女中勝記者
page 8	疫津籃證明書提前今日減徵手續費注射者不須繳納現金改貼印花輪船飛機搭客一律照此例辦理
