page 1	桂省決組自治政府反抗中央
page 14	五年前桃色案一主角殺人小姐的獄中生活每天替劉夢瑩寫一頁往生咒拿文藝理論和小說消磨歲月
page 14	身世慘劇複寫
page 14	獄中姿態一瞥
page 14	兩女結局不同
page 14	書面談話
page 14	整理材料
page 14	抵滬團員
page 14	廿七到滬
page 14	懺悔解脫冤孽
page 14	我國赴暹考察團返國抵滬暹羅當局態度懇切親摯僑胞擁護中央至為熱烈搜集材料豐富尚待整理
page 14	各界公宴
page 14	美名記者羅惠爾著評論日本控制華北日驕傲中國忍耐世界羞慚
page 15	主席報告
page 15	冀省五公路舉行通車典禮
page 15	代表訓詞
page 15	來賓演說
page 15	實行通車
page 15	門致中談
page 15	廬山特寫山中清爽宜人有如初秋夏日人口在兩萬人以上最近各種建設較前進步
