page 1	羅斯福之聲明
page 5	廉理軍法之縣長得逕行捕軍犯
page 5	日方示意廣州傀儡將市區縮小之詭謀日因軍事進攻無法進展利用傀儡改用政治進攻日軍又不允離市區卅里新中順日偽軍最近動態澳門三埠交通仍有障礙
page 6	一政治新動態
page 6	二軍事與兵役
page 6	用蔚蒸罪狀
page 6	湘省貪污縣長伏法經過為民父母竟舞弊死有餘辜薛長官執法如山殺一儆百
page 6	三黨務的展開
page 6	四抗戰中的教育
page 6	畸形的經濟發達
page 6	王綸之罪狀
page 6	日本被俘軍官在韶廣播到中國後的回憶和感想二醒生吧日本的戰友啊共同打倒萬惡的軍閥
page 6	粵南戰時色政治軍事黨務教育在發展中畸形的經濟發達苦了公務員
page 7	潔淨局職工數百人響應傷兵之友運動英人女教授長期捐款住聯會徵求成績良好
page 7	官校員生
page 7	住客聯會
page 7	利威得司理刁波士之友加德拉自述擒賊經過警察當局懸賞五百元緝匪
page 7	青年團體昨慶祝青年節
page 7	廣州灣保育院舉辦象棋義賽由名手董文淵主理在港將有數場舉行
page 7	油麻地小輪公司獲利四十餘萬股東會議決派紅利
page 7	葉蘭泉演詞
page 7	中華廠商聯會招待高總領事中央信賴本港廠商高氏重視國貨外銷
page 7	崇正救難昨募得萬餘元
page 7	澳門今日賽馬
page 7	高淩伯演辭
page 7	戰稅局調查市民入息應納稅者須從速呈報瞞匿不報將處五百元以下罰金羅文錦等昨奉委為戰稅局議員
page 8	廣東中醫學校贈醫處今開幕
page 8	三間保險公司昨開股東年會
page 8	港府收支概況稅收盈餘約二千萬元
page 8	香港的青年節
page 8	論文比賽
page 8	小學學藝比賽昨日開始舉行
page 8	書法比賽
page 8	港政府宣布港九禁區包括油倉電廠貨倉碼頭等未經許可者一律不准擅進
page 8	甲汽油倉庫
page 8	丙電氣廠
page 8	乙煤氣局
page 8	丁無線電台
page 8	戊水務工場
page 8	己碼頭貨倉
page 8	牙醫註冊法例七月一日施行
page 8	外勤記者會開憲政座談會
page 8	衛生局之議案
page 8	電報生被控案昨日再加控三罪
page 8	港政府委任令
page 8	龍鼓灘海賊騎劫貨艇貨艇及貨物損失共值千餘元勒馬洲蒙面賊八人械劫庵堂
page 10	東方征菲歸來後今日義戰海軍所得善款分兩部支配四時半對陣銅鑼灣場
page 10	籌運會功德圓滿昨日舉行閉幕嶺南真光分獲男女甲團體冠軍女子擲壘球馬慕潔破全國紀錄
page 10	華大盃今舉行爭霸戰看誰奪得錦標歸
page 10	友誼籃球戰訊
