page 1	美國參戰問題
page 3	土耳其埃及南非洲宣佈與意斷絕關係英空軍出動襲擊意屬東非洲隧軍艦隊急速出動圍困意艦
page 5	我向古井增兵防守
page 5	中山日兵調攻睦洲
page 5	江會各線仍係相持
page 5	日謀掃蕩瓊崖竄擾來統石壁被我殲擊瑞溪市日肆劫掠遭我夜襲日軍隊長井村亦被我擊傷
page 5	日竄石壁遭我痛殲
page 5	我襲瑞溪與日激戰
page 5	民生必需貨品禁止抽過境稅病商害民自當嚴禁
page 5	日機損壞墜中順交界機師一死一傷查係輕轟炸機
page 5	日艇竄擾遮浪
page 5	私梟日艇激戰
page 5	日艦頻擾惠屬沿海鹽田港私梟抗日起激戰日追遮浪漁船蹂躪大沙
page 5	安藤圖挽粵北日軍頹勢派田中赴前線協助軍事在廣州迭開參謀會議
page 5	梅縣法院及稅局勸業戶迅將白契投稅無謂之訟爭亦可減少
page 5	省賑濟會派隊搶救戰地義民
page 5	江會米荒嚴重日軍禁報紙登載
page 5	粵製紙廠在韶製紙近訊
page 5	粵北我軍再攻從化展開激戰連克近郊據點日大部退神崗粵路我軍南進衝入新街車站
page 5	從化殘日潰退神崗
page 5	粵路我軍進擊新街
page 5	財廳擬訂營業稅違章罰款給獎辦法
page 5	省新運會發動擲節汽油運動
page 5	三灶島上日軍減退
page 5	定八一四為航空節
page 5	睦洲龍泉又先後失守我團隊已源源赴古井增防我對江會仍取控制策略中山祗有少數日兵駐守各地戒嚴比前更為嚴重
page 6	禪炭線
page 6	蘆西線
page 6	中番邊境游擊隊分襲黃閣大崗潭洲當地米荒人民紛紛逃亡
page 6	桂公費留學生展期出洋
page 6	從炮火中生長起來廣東第一保育院的一群小戰士
page 6	粵省十二縣剷除煙苗抗剷者嚴懲
page 6	北江來客述目擊日軍慘敗情形祇流溪方面亦溺斃七八百人生降及死傷其數總在萬以上
page 6	南路行署籌設義民墾區
page 6	日北犯潰敗後西路日軍增援官窯馮涌日騎兵受創禪炭路交通斷絕西南日軍佔據丹桂月樓築防我游擊隊活躍兩襲西南車站
page 7	火勢猛烈
page 7	居民走避
page 7	七人受傷
page 7	灌救情形
page 7	漫畫協會舉行集體寫生
page 7	林綺梅女士願為商賑會演劇籌款馬超奇願捐助演劇費用
page 7	英政府已停辦空郵帝航機香港倫敦班停開法民航機繼續飛航各線
page 7	代督史美昨電英皇祝嘏
page 7	留營難民略減
page 7	旅港蘇浙商人救濟浙東米荒
page 7	經警司公布處置意僑辦法昨被拘禁意僑已有十一人意郵船公司理亦在其列
page 7	傅倫敦將禁港貨入口電池電筒風燈等貨品
page 7	英駐港艦隊一律出海警戒艦員不得請假離艦
page 7	油麻地佐頓道火警焚舖一間七人受重傷洗帽店失慎燃著電油火勢甚烈樓為三合土所建鄰家損失甚微
page 8	廣西留人洞與中華班明　義演
page 8	汎美機昨離港
page 8	住客聯會又增設游藝部減收會費徵求新會友
page 8	劉沛　昨逝世
page 8	荷印安謐如常美記者之談話
page 8	戰時需款孔亟港府發行公債總額六百萬元利息三厘半明年起還本廿五年可清償
page 8	留港英人請纓有軍事當局已准入伍本月十七日起登記
page 8	山頂盆栽展覽籌得七百餘元
page 8	魯警擅離職守引渡手續不合故寬辦
page 8	利威行劫殺案昨公審律師加蘭路申述案情
page 8	車輛失事統計去週死二人傷三十九人
page 8	新界救濟會去月贈醫統計
page 8	安居海外之順德僑商應速設法救濟桑梓各縣米荒情形以該縣為最慘野無青草餓殍載途目不忍睹
page 10	國營茶葉公司總經理播音鼓吹國茶銷路國茶質味俱佳非他國茶可及
page 10	宵來公　籃球賽鐘聲挫銀聯紅乙組銀聯白悠悠告捷
page 10	體協會昨開會議討論入會團體問題各代表劇烈爭辯達三小時卒採用投票方式以定取捨
page 10	九龍學籃戰訊
page 10	國茶種種
page 10	國幣價昨回降省毫券桂鈔亦跌
page 10	八九金價續跌
page 10	滬外匯市報好英美匯兌均緊
page 10	中國青年救護團舉辦小型足球義賽定週末在九龍球場舉行四路出戰人選經已排定
page 10	南華游泳場今日舉行水藝
page 10	東方南征隊在吉隆坡勝仗六比二輕取冠軍隊
page 10	技術改進
page 10	供給無虞
page 10	市場設備
page 10	各國幣價伸算
page 10	英銀遠期轉縮美英匯兌漲二毫六五
page 10	澳輪運到鮮魚四十餘擔
page 10	港股份總會昨竟日無買賣
page 10	港市美匯續漲申電回鬆銀行沽出百餘萬
