page 1	四路總部進行軍事中心工作
page 5	英大使乘車抵省記下榻英領館今日拜會當局刁作謙談英使或赴桂一行
page 5	車站警備
page 5	歡迎人員
page 5	深夜抵省
page 5	刁作謙談
page 5	市商會呈覆營業稅額後官商兩方之態度官方俟核議後公佈商方聯合暫緩申報
page 5	黃主席返省後三年施政計劃之急進省府交涉科長對記者談
page 6	鄒魯電告定期返粵鄒氏親信談仍專心辦中大校務就監察使說當非確
page 6	拆除沿河建築物河南居民又會議工務局決派隊執行
page 6	建廳委吳奕忠為營蔗處主任
page 6	孫科梁寒操南下梁組廣東經分會
page 6	梁永槐出發察勘廣梅路線續訊
page 6	教廳人員解釋檢定考試之意義
page 6	草蓆工會糾紛案黨部令詳細呈覆
page 6	河南沙溪等鄉昨日開鄉民大會請將收地建築機場案撤銷發還管業以便農民開耕
page 6	橫臥路軌自殺
page 6	購機七十二架紀念七十二烈士
page 6	十八日為北平民眾革命紀念日
page 6	胡銘藻奉中央電召晉京
page 6	河南瑤頭與沙河兩地
page 6	法國駐遠東艦隊司令愛斯德華中將
page 6	粵漢無線電話
page 6	汕市　業稅 商人仍未照章申報只有一家遵辦稅局予以
page 7	各地防務
page 7	港隊成績
page 7	開會歡迎
page 7	施氏演詞
page 7	李氏招待
page 7	殺人焚屍案三次提堂趙煜輝獄中會晤父及妻觀審者不因天雨而稍減庭諭下星期四早再提堂
page 7	英大使許閣森廿四日來港歡迎儀節酬酢秩序已編定廿八日乘艦赴澳拜會澳督
page 7	運毒日人入獄十年被告被捕時欲以鉅金賄警官法官謂案情重大為向所未見
page 7	新嫁娘控夫盲婚制度下之一齣悲劇結婚數日新郎一去不歸空閨獨守贍養無人珠淚偷彈男角自稱另有愛人兒女繞膝
page 7	施利民昨已抵港將檢閱全港救傷隊施氏謂星洲隊務尚欠完善港隊員勇于工作成績甚佳
page 8	　艦侵襲　軍擊　艘
page 8	敵機轟炸三機被射下降
page 8	新界混戰兩軍受創　重
page 8	藍軍陰謀紅軍未受所愚
page 8	藍　偷渡
page 8	敵艦四艘偷進　林島港
page 8	互逞威武雙方傷亡極眾
page 8	港國醫慶祝京中醫委會成立
page 8	賑綏書畫展覽會本月廿一日開幕
page 8	一老翁失足跌斃
page 8	臬庭提審偽幣案被告一獲釋一押候再審
page 8	三匪徒串騙參茸
page 8	理髮匠刀傷蔗販
page 8	軍事大演習第四日海陸空軍猛攻香港防軍擊毀敵艦三艘飛機三架粉嶺電廠啟　機場均有損壞
page 10	廣州中山大學春季不招收新生
page 10	新郵票定期發行
page 10	張彭春今晚演講
page 10	賑綏會昨得捐款
page 10	義學生書法比賽精武會定期舉辦
page 10	紅丸案兩宗提審
page 10	懷偽幣被捕入獄
page 10	拳師吳鑑泉昨過港
page 10	聖公會定明日賣花
page 10	愛群公司改選總理
page 10	印警被控強姦華婦案提堂官准繳款二千元擔保出外候審四十歲男子被控非禮十歲女童
page 11	中山欖鎮警衛隊部側之擄劫案經將三匪拿獲解辦
page 11	蕉嶺之學務談
page 11	爭採塢礦價值甚賤
page 11	設立九個教育區訊
page 11	指定魚鹽秤放地點
page 11	逃避徵兵革胙通緝
page 11	籌備六屆集團結婚
page 11	嚴限業佃迅報田畝
page 11	匪破門劫歸僑鉅款
page 11	山濤暴漲之大損失
page 11	余　捐資築碼頭
page 11	積極建築各縣公路廣州至虎門公路會同市府等查勘九汝路限四月完成翁韶日間測竣
page 11	開闢南澳鹽田之計劃
page 14	土匪時期
page 14	展開了軍墾
page 14	關於屯墾的問題
page 14	折桂壩工程工落成
page 14	中外佛教界歡宴美佛教徒係美國法明學會會長新從印度朝聖蹟回滬
page 14	中外佛教名流　陪
page 14	屈文六首致歡迎詞
page 14	安氏演說朝禮經過
page 14	後套軍墾發達交通不便造成資本膨脹王同春乃開墾前輩惜得不肖子後套百姓聞王英已死額手稱慶
page 15	結城財政之透視
