page 1	日Ｘ之最後ＸＸ
page 6	Ｘ大部仍佔駐三水在白泥沿岸築防警戒Ｘ連日擾各鄉搶劫財物糧食鄉民舉甘三珠組糧食維持會
page 6	省府更調大埔鬱南縣長
page 6	新會擴大慰勞運動擬聯合五縣舉行
page 6	暹羅平糶米抵汕有期
page 6	Ｘ機五架飛中山九區偵察未有投彈放槍祇散荒謬傳單
page 6	韶汕線公路旅客車費仍舊全程國幣十八元八角
page 6	江門船舶大隊部昨已奉令裁撤代主任撤差查辦
page 6	粵所得稅事務處遷隊溪
page 6	西江戰地前哨視察記旱塘苦戰指揮官訪問記
page 7	利舞台中
page 7	各區情形
page 7	華商籌賑會議
page 7	聖保羅女書院演劇籌賑難民
page 7	偽幣案昨提堂
page 7	園藝會開幕今日花開又一年
page 7	充滿幽香的半島防空地窖防空展覽會昨日開幕摩登士女紛紛往參觀
page 7	宋氏授旗
page 7	何氏致詞
page 7	致開會詞
page 7	港九中外婦女昨熱烈紀念婦女節成立婦女救國大聯合會
page 8	圖劫疑犯詳臬
page 8	Ｘ謀擴大電訊網請港政府合作並擬建設強電波播音台六座Ｘ
page 8	國際婦女紀念三八輔政司史美夫人任大會主席
page 8	英后輪環遊世界抵港載遊客百五十名多美國富豪留港三日星期六日赴馬尼刺
page 8	蘇安平控夫案昨日再度提堂
page 8	法民航機轉載郵件辦法
page 8	工務局職員被控毆打商人
page 8	記淪陷區名勝影展
page 11	芬蘭如何籌備第八屆世界運動大會二
page 11	運動成績世界第一
page 11	會場佈置以樸實為主調
page 11	記者俱樂部中應有盡有
page 11	歐洲戰雲瀰漫芬蘭人可不管
page 11	港菲埠際賽港方選出代表十五人中華人佔七名決定四月廿八日成行
page 11	昨日公開網球賽戰情平淡今有雙單打七場
page 11	足球聯賽天佑南南雛鳳壓倒海軍最後五分德輝中的間接提高乃兄地位
