page 1	Ｘ軍進犯海南島
page 6	李漢魂發表代電嚴訓所屬機關
page 7	外匯飛漲米輸入少
page 7	汕商會請免洋米稅
page 7	旅港潮商聯電呼籲
page 7	英賑難會賣物會繼續徵募貨品
page 7	各埠柴薪源源到港價格漸趨代跌不致再漲吉隆坡今日有大批運到
page 7	五賊械劫新界農戶
page 7	三賊截劫一收脹客
page 7	國貨展覽會審查廠商出品
page 7	五賊揭開屋瓦入劫新界農戶掠現金首飾約值三千元油麻地一收賬客被截劫
page 7	盜竊疑案上訴黃仕能得直
page 7	礦工失足跌斃
page 7	各界賑聯會催繳會員捐款
page 7	各行紛響應新年節約運動
page 7	潮梅米荒日趨嚴重旅港潮商請免洋米稅昨電蔣委長孔院長呼籲並請防範奸商乘機操縱
page 8	港政府建　輪擬作三項用途
page 8	英艦蛾號赴粵
page 8	斬傷日人案仍押候一星期
page 8	何沛新昨返港報告服務前線經過
page 8	捐金購債彙誌
page 8	婦女節制會開賣物會籌賑
page 8	摩登少女投海
page 8	女郎跳樓求死
page 8	難民自縊殞命
page 8	各區水塘存水愈減幸消耗量亦同時減少
page 8	本月份刑名案十三日下午開審
page 8	婦人服毒獲救
page 8	客談九江近狀
page 8	海龍帆船返港荷禮寶頓談此行經過
page 8	Ｘ犯海南昨晨在臨高角登陸旅港瓊商去電查詢無覆電王毅將軍曾表示誓死守土
page 11	青年會健身團表演器械運動今晚假健身室舉行門票二角籌款購藥
page 11	準備迎擊菲軍華聯陣線正式決定南南佔七人東方三人雛鳳一人
page 11	銀牌複賽無巧不成對頭南南三戰九龍今日下午四時在掃桿埔場華軍抽調張榮材出任門神
