page 1	意大利態度轉緩
page 7	租賃汽車糾紛香港大酒店被控
page 7	準備應付非常時期本港組織運輸輔助團招募汽車駕駛人員一千五百名畢警司昨日召集全港車商會議
page 8	嚴防第五縱隊活動
page 8	徵所得稅實至公允
page 8	港府限令敵僑離境
page 8	灣仔警探昨破獲大賭場男女賭徒廿二人被捕一英人亦被繳械拘究
page 8	女郎投海獲救
page 8	各界踴躍捐粽勞軍港九兩地設收粽　六所
page 8	三千餘元偽幣案開審兩銀行派員鑒定確屬偽幣被告三人獲釋四押候再審
page 8	三賊截劫漁船一少女被鎗傷
page 8	泥牆倒塌壓毀木屋園丁一家四口被活埋七歲小童重傷殞命其餘三人亦受微傷
page 8	慶祝教師節孔誕日始舉行僑校俱遵　部通令
page 8	崇正救難會繼續沿門勸捐
page 8	豪輅夫人演講廣州近況
page 8	開平商會匯款回邑施賑
page 8	救債分會又募得數萬元中藥行購債三萬　元
page 8	九龍之園林酒家
page 8	港督在星發表談話歐戰斷不致波及遠東但為萬一計香港早作戰時準備港府限敵僑本月十一日前離境
page 10	學排賽暫休戰十三日繼續舉行
page 10	中華體育協進會今開委員會議
page 10	記者體特會定期旅行銀礦灣
page 10	本港米價勢將回跌昨日又到暹羅米船一艘
page 10	宵來公開籃球賽培英康元勝仗精武太古敗陣
