page 1	日人對我外交新陣容之觀測
page 11	番禺縣地方施政概況林世恩談巡視所得印象甚佳地方安謐教育建設正推進中
page 11	治安情形
page 11	自治組織
page 11	教育經費
page 11	農田水利
page 11	各張發現牛瘟甚烈
page 11	商民試鎗誤斃幼童
page 11	三角沙匪搶劫鴨船
page 11	順德容桂絲廠紛紛復工
page 11	高要逕口村火警內幕父子自焚殃及七十餘家八十歲老翁鬻媳醫子病不容於鄉族因憤而自殺
page 11	厲行檢舉煙民情形
page 11	蕉嶺患旱又患雨
page 11	修築高明基圍與完成省道第一幹線修築費十三萬元由該處業主分擔
page 14	閩省南安著匪勾結浪人金淘區迭發生劫殺案著匪黃三奇在廈被捕匪與浪人有秘密組織
page 14	中政會議通過民族掃墓辦法黃帝大禹孔子明太祖及總理陵由中央派員舉行祭典
page 14	非驢非馬之偽滿協和會內容專以收容浪人為目的
page 15	中央致祭陸墓
page 15	民族掃墓儀式
page 15	二二六事件一週年下
page 15	民　掃墓辦法
