page 1	張川六會後　中　交涉
page 7	領隊談話
page 7	該團組織
page 7	廣州警政考察團昨已乘輪抵港
page 7	天一快船恢復航期
page 7	壇色美觀
page 7	僧侶報效
page 7	國選總所重訂辦法三項九龍團體選籍問題解決香港僑團其會所在九龍者准參加港僑選舉下月一日開票各界如不滿意可速呈請改善
page 8	前晚收到捐款　覽
page 8	胡文虎氏補足尾數
page 8	僑工捐款昨已匯京
page 8	董仲偉等祝壽電文
page 8	起草頌詞屆時祝賀
page 8	中市果菜欄擬遷兩營盤營業
page 8	衛生局昨日例會
page 8	港商謝春舫昨逝世
page 8	西河堂十週紀念
page 8	過海輪女客投海
page 8	警探昨大搜歹徒
page 8	海壇輪煙案判決兩犯入獄兼罰款
page 8	購機捐款昨已匯京獻機會四十萬元足購飛機四架僑工會募得二萬餘元昨亦匯去
page 10	初級法庭案彙誌
page 10	積犯潛回
page 10	借用船票
page 10	虧空貨項
page 10	截搶金飾
page 10	外艦來去之調查
page 10	僑委唁楊永泰家屬
page 10	藏有偽幣
page 10	陳福善畫展會開幕
page 10	舊屋宇紛紛改建
page 11	新會龜岡鄉全村被焚
page 11	中山岐濠汽車輾斃路人
page 11	破獲斗山紅丸機關
page 11	鹽警緝私槍斃人命被鄉人拘解分局
page 11	單車業抗照費罷市
page 11	匪殺蛋民棄屍沙灘
page 11	歹徒挾嫌意圖縱火
page 11	南水港大火災情賑
page 11	西南警察燬滅賭具
page 11	洗劫西平電船案再詳
page 11	順德江尾均安墟賭匪拒捕擊斃士兵鄉人被拘十三名解省時之穿掌者沿途　喊慘不忍聞
page 11	賣菜販強姦被拘
page 11	九江著匪放火燒屋
page 11	表姊妹拍拖惹風波
page 11	各屬捐款購機近誌
page 14	剝削重重農民殆將無　類
page 14	蘇聯的見解中日事件如此觀莫斯科真理報有評論抗日運動可阻侵略
page 14	事件成南進口實
page 14	魯迅安葬萬國公墓執紼者達六千餘人
page 14	夫人的哀詞
page 14	匈牙利神童白雪琪兒年僅六齡有半擅音樂與歌舞主演晴兒思每一片風靡一時
page 14	日對英美有顧忌
page 14	陸軍作海軍後盾
page 14	寧波防空演習敵機兩次襲擊萬人從事活動
page 14	敵機自杭來
page 14	晚二次襲擊
page 14	察北機場
page 14	搜括糧食
page 14	勒迫農民種鴉片匪偽軍毒化察北征收官煙供某方造毒品捐稅苛重農民蹙額呻吟
page 15	獲得領導者
page 15	入實際時期
page 15	當局大搜捕
page 15	被捕者身分
page 15	台灣民族革命重要史料一卷被捕四百餘多未入學校老翁及富人亦參加革命苦幹多年犧牲若干心血
