page 1	戰區經委會之工作
page 5	中山我遊擊隊活躍克復九區後嚴密包圍小欖石岐緊張或中止開放岐關路江會各線我軍連日向日進剿
page 6	圖突破封鎖線陰謀失敗我軍反攻大高峰　正血戰中遂溪我軍擊傷樂民港外日艦
page 6	主力秘密南調
page 6	分路迎頭痛擊
page 6	我軍採取攻勢
page 6	武裝農民襲擊
page 6	西江日艦窺擾仍頻蘆西我軍挺攻西南攻入鎮內激戰殲日甚眾白坭軍民勇戰擊退日軍
page 6	我軍進擊西南得手
page 6	白坭民眾勇殲日軍
page 6	廣州灣當局態度強硬限制日艦水兵登岸日艦採購電油亦受限制
page 6	日艦迭擾西江沿岸
page 6	省河日航運一部停頓神灣白蕉航輸被襲
page 6	我游擊隊炸燬廣花橋樑日兵六名被殺
page 6	中山大學在韶設辦事處許校長亦將抵韶
page 6	曲江評定物價
page 6	日機進襲粵北
page 6	桂南龍州日軍
page 7	接打單信
page 7	再度勒索
page 7	捕獲兩人
page 7	今晨提堂
page 7	代督諾爾頓視察廣華醫院
page 7	公費回韶義民將首途由省賑會港辦事處護送
page 7	中振會撥款救濟東江水災
page 7	東區教聯會義學演夜光杯籌款
page 7	廿七晚演習燈火管制係準備應付閃電空襲市民須提前遮掩燈火免受懲罰九龍砲兵是晚並舉行射擊演習
page 7	加緊訓練中之後備警察千名將負責維持各住宅區治安保衛團則負責保衛商業區
page 7	是年雨水特多可創百年來新紀錄
page 7	廣州灣日艦廿二日已他駛
page 7	教育界代表再請改善新例張瀾洲等昨謁華民司
page 7	本港風災續誌
page 7	葡僑追悼澳督
page 7	大道中珠寶店被匪打單餐室內警探誘捕一匪店主陳普新之從弟亦受嫌被捕政客被勒索案疑與該匪黨有關
page 8	徵募總會來電呼籲
page 8	九壟建築防空壕計劃居民協會業已草竣將請政府採納施行
page 8	各大僑團加緊進行
page 8	是年七月份對外貿易統計出入口貨均較去年同月激增
page 8	破獲兩字花廠賭徒十八人被重罰
page 8	兩店伴誤殺一難民罪名成立各處徒刑兩月
page 8	輪客三人暴斃一英輪須入海禁
page 8	購軍械被騙案判決被告阿金原來是積犯罪名成立處徒刑二年
page 8	輔助女看護隊昨舉行初步救護考試
page 8	東龍島上三賊劫洪聖廟廟中財物被掠一空
page 8	景光街械劫案五疑犯詳臬定獻
page 8	汎美機昨抵港
page 8	防空處之訓令增派救護員赴各區工作
page 8	各僑團募衣運動決以一百萬元為目的定期開聯席會議試論徵募辦法全國徵募委員會昨電本港呼籲
page 10	今日國際棒球第二戰中美兩雄會師工力悉敵定有看頭
page 10	中西四角游泳對抗域會西青勵進鐘聲參加角逐今夕九時假西青會泳池舉行
page 10	前任體協會主席吳仕光對協會糾紛發表意見解決辦法最好能改組協會
page 10	籃球消息兩則
page 10	星島歸鴻八
