page 1	羅馬尼亞政潮與德蘇關係
page 8	各區警探大捕無業遊民老弱送難民營安置壯者分別遣回原藉
page 8	星督離港返任
page 8	佛山輪抵廣州搭客坐待檢疫
page 8	西區防空演習昨晨八時舉行
page 8	商人派人行走澳門三埠航線
page 8	教育部徵集大學教材嶺大等校已接通告
page 8	赴韶新路線經鹽田入淡水瑞和公司明日派輪行走
page 8	西貢商民築路港政府未准許
page 8	學賑會音樂會籌得九百餘元
page 8	汽車失事傷人
page 8	李芳赴韶任軍職
page 8	大道中廣信金舖開張五日即被賊劫兩賊持械入店掠去首飾數十件防盜設備未週搶匪得從容遁去
page 10	東方奏凱加山四比一破約瑟文奎兩球鍾侯各一南華淨勝光華一隻
page 10	東方輕取約瑟
page 10	公開女子排球南華直下三局輕取星島娘軍
page 10	光華敗走花墟
page 10	記體會之動態
page 10	慘哉我國內地民眾瘧死竟多於戰死籲請海外僑胞多運良藥救濟
page 10	友誼球賽戰績
page 11	西班牙的武備
page 11	　第五繼隊
page 11	德國駐日天使奧特
page 11	德國秘密巨砲
page 11	加拿大的海軍談
