page 1	意大利之歧途
page 6	良口以南兩軍混戰
page 6	消弭海康遂溪兩縣水患官民合籌百萬整理水道籌款辦法決定已開始進行組織委員會辦理濬深工程
page 6	達百萬元
page 6	進行辦法
page 6	塘再淤淺
page 6	廣西農行歸併廣西銀行
page 6	梧港間商業近況
page 6	莞龍日軍竄擾茶園寮步搜奪糧食後竄退
page 6	桂林行營政治部已撤銷
page 6	廣東財廳舉行稅務考績
page 6	粵成績列乙等有四縣受獎
page 6	候用公務員優先錄用在港登記者將來韶
page 6	北路戰事仍劇烈良口南混戰殲日千餘我連克要點圍米　雞籠岡殘日犯水頭日潰退大水　日陷重圍增城日再竄派潭展開劇戰
page 7	測量曠地建避難壕
page 7	聞警報後不宜外出
page 7	政府機關防空設備
page 7	嚴格訓練防空人員
page 7	中澳交通未復澳輪運來糧食不多
page 7	英僑踴躍參加民兵團
page 7	婦女界開憲政座談會
page 7	英王生辰慶祝儀式已定將舉行簡單的閱兵禮
page 7	本港炮兵演習
page 7	警探圍捕薄寮洲劫匪查究薄東灣械劫案
page 7	薪俸稅率
page 7	英服務團尚有兩人留港
page 7	港政府分發所得稅填報表戰稅局再解釋薪俸稅率入息滿五千元即須繳納
page 7	各界賑聯會商討籌款辦法
page 7	商會定期會議討論舉辦賣物會案
page 7	防空處積極派員測量曠地建避難壕偉大建築物亦將有防空設備挖掘地洞無濟於事決不進行
page 8	趙氏義媳雲妙蓮詳述目擊行兇情形林　桂被斬七十一刀其深入骨連醫師證明被告並無神經病態關氏與妾不睦常怨夫寵妾輕妻
page 8	律師馬菲詳述案情
page 8	醫生詳述驗屍經過
page 8	妻妾紛爭無法調解
page 8	被告自認患神經病
page 8	避難來港妻妾復聚
page 8	兩賊械劫錢銀找換店掠國幣毫券數百元
page 8	本港各銀行實行變更營業時間每日上午九時開市洋行變更與否未定
page 8	一枝洋燭惹起大禍
page 8	被告指妾殺姑及子
page 8	華南婦節分會游擊展賣會定期開幕各校代銷票券成績極侍培英女校將演名劇助興
page 8	省救護會港分會昨日已開始辦公
page 8	少年忍心鬻子罰一百五十元
page 8	無從投遞郵件
page 8	洪大入學試昨日開始舉行應試學生六百餘人
page 8	黃勞結婚誌盛
page 8	閩僑中學決擴充
page 8	三屍四命案公審
page 10	中青救護團舉辦小型足球義賽本月十五日假九龍球場舉行
page 10	學界排球賽今有兩場角逐
page 10	夏令籃球賽七日開始報名十八日止截
page 10	培正犯港第三戰昨日力抗鐘聲比賽未終局因雨停戰廿四比廿三培正佔先
