page 1	美國表示援助希臘
page 7	本港戰稅收入超過預算成績每年可得二千萬元
page 7	小學生年更會編定各項秩序除夕仕培英小學舉行
page 7	大澳竟成私梟根據地私貨積專候時機走運
page 7	禮利仁輪被意潛艇沉擊船員生死未卜
page 7	改良九龍道路馬路中心設站崗
page 7	零售米價規定後拆家居奇價廉同叫苦零售商開緊急會議討論對策決請當局飭令米行大放存米
page 8	利用防空棚收容各區露宿貧民居民聯會將向政府獻議並開美展會善款派棉衣
page 8	代領移民證成立圖書館
page 8	設立賻金組籌組書畫會
page 8	鶴山僑商籲請撤三洲檢查處利便　有輸入接濟
page 8	救濟露宿者增設贈醫處
page 8	居聯文藝會全期課目訂定歡　各界人士參加
page 8	汛美公司擬闢港星航線直接聯絡兩大商埠英美當局極力贊成
page 8	燕大校友昨舉辦餐舞會吳雷川校長籌獎學金
page 8	彗星出現本港天文台亦望見
page 8	麻雀比賽保　會　籌款
page 8	僑校畢業生可免集中軍訓我教育當局正式通告
page 8	皇后街保衛團短期內可成立
page 8	貨船被擄漁艇被劫損失約五萬元人幸無恙
page 8	耶誕與新年延長營業時間　會將代各行請求
page 8	國貨展覽會場昨已開始佈置
page 8	孔道大同學社昨日正式成立
page 8	霍亂症已撲滅市民赴澳滬免攜防疫症
page 8	清道夫拾獲實彈手鎗
page 8	兵災會賣物會十日晚始閉幕
page 8	聖約翰餐舞會將在麗池舉行
page 8	遠東航空學校同學會昨成立
page 8	越南商人籲請恢復港越航運當地必需品極缺乏米石無出路華商已紛紛結束業務候輪返國
page 10	振盛行售出
page 10	隆興棧售出
page 10	茂泰行售出
page 10	振南行售出
page 10	星島鴻運當頭二比二和東方初賽九分鐘連負兩球卒收復失地握手而終
page 10	華人旅行近訊
page 10	友誼球賽戰績
page 10	公開女排第二週仿林再克星島直落三局
page 10	今日兩場學籃賽
page 10	昨到暹羅米船二艘來貨不多市價仍漲
page 11	提防間諜標語
page 11	水力飛機
page 11	戈林的桃色事件
page 11	德國海軍全貌
