page 1	須磨來華後之中日交涉
page 4	關於麗華杯賽紏紛陸軍體育會寄本報函最要點謂華聯無要求改期
page 4	施頭工二次破關
page 4	鄒文治遠射成功
page 4	三比三卒成和局
page 4	公開排球賽南華華戰勝精武
page 4	友誼籃球劇戰華雄祇以後起應戰差兩球敗與印警成績五十一對四十七
page 4	今日學界籃球賽保羅出師戰華大九龍刺沙對嶺東
page 4	聖約翰救傷隊週年游泳賽情形英皇以十八分得全場冠軍
page 4	加露連山之戰甚糾紛黃景聯受傷離場地路　度記大過差幸南華華英勇二比一挫聖若瑟華隊各人表演稱職聯絡尤見工夫聖約瑟前鋒軟弱惟後後防頗為鞏固
page 5	孫科擬中止赴桂昨晚往港轉程返中山王寵惠昨午赴港北返
page 5	舉辦三種警察訊方案現在草擬中
page 5	釀酒工人之會議擬請撤銷釀酒辦法
page 5	外商營業稅難辦鄭芷湘再上辭呈俟宋廳長回粵決定
page 5	廣州新聞檢查所改善檢查手續近擬遷址辦公
page 5	潮梅糧食日陷絕境汕商決組團赴瓊請願請當局撤消洋米與雜糧專稅
page 5	捐款購機祝壽本月十五前結束
page 5	單刀搶找換店案限一個月獲匪
page 5	河南下渡鄉匪徒誘劫蛋艇
page 5	菸絲店暫停購葉
page 5	廣西公路管理局以省會遷設桂林後
page 5	女警察
page 5	行營佈置海岸國防令各縣市長條陳計劃近海岸之各縣市民將擇有軍識者充任
page 6	建設廳技正兼農林局副局長古桂芬
page 6	省府決組織設計委員會
page 6	一五五師長莫希德前呈准在高雷慕兵
page 6	廣州市新運會舉行全市清壁運動通告全市各商店住戶
page 6	鐵道部金鈕兩幫辦
page 6	廣州律師公會
page 6	謝瀛洲昨就粵審計處長
page 6	蒙聖分局所內同福東路一百一十七號三樓
page 6	新任汕市長黃秉勛
page 6	去月三十一日原為革命先烈黃克強先生逝世紀念
page 6	破獲芳村狗肉窟拘去屠狗者五名
page 6	市營機關合署辦公近訊
page 6	閩邊匪共竄粵境李漢魂派孔旅進剿薛漢光請兵駐防南山
page 6	港澳貨入口行商須注意規章
page 6	謀殺陸豐諮議案昨捕兩人待訊
page 6	水電兩費市府改善征收
page 6	此人豈有神經病乎白晝強掠行轅衛兵槍械
page 7	票場佈置
page 7	監視人員
page 7	開會儀式
page 7	解決紏紛
page 7	開票結果
page 7	各界代表晉省歡迎黃主席歡迎會秩序昨已編定
page 7	議決各案
page 7	代表晉省
page 7	婦人中風
page 7	陳濟棠兄弟遊蹤
page 7	國大代表港僑初選結果胡弘成郭泉黃茂林當選為候選人投票共六八八四張廢票五八四張各項糾紛當場解決經過情形良好
page 8	全國空線
page 8	各線票價
page 8	暫定班期
page 8	譭謗名譽案判決
page 8	鬻金飾捐款購機濠江妓女熱心愛國
page 8	王寵惠昨晨來港候輪北返孫科乘夜船來將轉返中山
page 8	三人意外受重傷
page 8	追悼魯迅籌備會昨開第二次會議
page 8	何東歡宴陳其尤
page 8	徐逸樵過港赴歐考察各國教育事業
page 8	東華院下屆總理內定者已有多人
page 8	改良漁業之進行漁人與魚商漸能合作
page 8	東華萬緣勝會消息
page 8	市政衛生局經歷勞
page 8	中航機滬粵線班期除星期一外每日均有機到港由港至廣州四十五分鐘可達
page 10	起火地點
page 10	灌救情形
page 10	損失調查
page 10	警探昨大搜私娼
page 10	失業工人咯血殞命
page 10	孔教學院昨日講學
page 10	衛生醫官時症報告
page 10	長途車與單車相撞
page 10	德輔西昨晨火警焚空樓一層幸無傷斃人命
page 11	桂省遷江縣汽車失事斃人
page 11	台山法官大更動
page 11	緝私煙傷斃數人
page 11	湯坑演劇死傷多人
page 11	縣兵喬裝破獲賭窟
page 11	縣府裁撤縣兵營部
page 11	蛇變水魚
page 11	匪劫瀝口村之激戰
page 11	匪徒猖獗攔途截搶
page 11	縣兵派隊剿容洲匪
page 11	中山私梟之猖獗包圍鄉公所擬奪私糖緝私處當堂拘去五名
page 11	山林因旱多遭野火
page 11	大江路車輾斃搭客
page 11	九江昨開防匪會議
page 11	鄉民反對擴痳瘋院
page 11	師範學校發生風潮
page 11	潮梅　布業防私會修正取締私貨辦法提會通過即實行
page 14	察北匪偽各部更調頻繁猜疑日深王英三旅長又被某方押扣包卓張李在張北有所會商禁閱報紙並禁止人民出境
page 14	匪偽領袖集會張北
page 14	魯訊喪中孫夫人一露祥容豐彩依然不願多談政治閉門謝客致力學術研討不承認外傳擔任魯迅治喪費
page 14	充實軍需採購煤觔
page 14	盤查行旅遏糴糧食
page 14	楊永泰被刺案即組特別法庭審兇楊遺體已入殮將移柩武昌治逗喪處成立由何成濬主持孟廣澎代省府主席職
page 15	施劍翹由津抵平後對記者述復仇經過她擬略事休養即擬赴京省親對丈夫離婚她表示極端反對
