page 1	遠東問題與反侵略陣線
page 5	北海救濟會收容各處難民統計潿洲島之Ｘ最近頻見調防
page 5	北江駐軍嚴禁勒收捐稅
page 5	中大同學會到韶後籌組生產合作社
page 5	北江駐軍政治工作進行之概況
page 5	Ｘ侵順德杏壇最後淪陷
page 5	張李會同榷立戰時行政中心計劃通令各縣長遵行
page 6	谷埠之Ｘ繼續撤退
page 6	我軍再克平嶺杜阮
page 6	我神鷹隊炸Ｘ陣地
page 6	葉柏生任前Ｘ指揮
page 6	新會縣府推行要政
page 6	江會之Ｘ動態未明
page 6	Ｘ撤兵後防守粵北
page 6	會城附近游擊戰情
page 6	Ｘ機昨又炸汕計共三次燬民房甚多
page 6	廣州游擊活躍近郊又有興中團
page 6	台山海面Ｘ艦減退
page 6	佛山青年團血戰天海樓
page 6	省當局放儲鹽調劑民食鹽管局擬分配辦法
page 6	前方官兵到後方無證明書作潛逃論軍管區擬定取締辦法六項
page 6	粵新運會推行節約儲金
page 6	西北江最近軍訊我軍猛襲三水楊梅蓮洲崗鄧村附近之激戰
page 6	河口Ｘ軍近無異動
page 6	我游擊隊猛襲楊梅
page 6	Ｘ機頻襲三水蘆苞
page 6	Ｘ著鄉民填報戶口
page 6	蓮洲國等地之激戰
page 6	Ｘ兵增援警戒平山
page 6	神岡栽Ｘ激烈砲戰
page 6	容桂Ｘ軍突增中山小欖又復緊張
page 6	鶴山海口之Ｘ亦已撤退我乘勝推進新鶴路之捷音我機隊飛江會炸Ｘ陣李務滋積極準備反攻委葉柏生為前敵指揮
page 7	粵省臨時參議員胡木蘭女士辭職讓賢轉危扶傾實賴多方之俊彥不敢濫竽充數貽倖進之譏
page 7	漫畫展覽會今日在中央戲院開幕
page 7	蔣ＸＸ非蔣委長代表
page 7	警探大搜私娼
page 7	史德霖昨返國
page 7	港督羅富國將檢閱救傷隊
page 7	全港青年團體今日開會紀念五七假座加路連山孔聖堂舉行大會將提倡青年自新運動
page 7	英賑難會最近募捐成績
page 7	吳飛將赴中山任六區游擊隊司令
page 7	小童險遭滅頂
page 7	港僑救護團第五隊抵三埠
page 7	電車撞死老翁一少年被貨車輾傷
page 7	澳游擊藝籌賑會昨晚正式開幕
page 7	限制迫遷法例有效期限決展延一年俟立法局會議通過即正式宣布憲報刊出草案後住客皆大歡喜
page 8	分批答發以防流弊
page 8	一年內發證五千張
page 8	印刷業商會定期行成立禮
page 8	酒樓茶室等行議決戶內賣花籌款救濟失學難童
page 8	本港外科醫生二百餘名獲准執業
page 8	集中力量救濟難胞華僑協進會昨日成立熱心公益僑胞均得為會員每二年召開代表大會一次
page 8	刑案定期開審
page 8	第四次特別賽馬成績冷門馬仍多獲勝實出人意料騎師列打晏加那生包辦六場
page 8	孔聖會徵求會員
page 8	許世英飛渝辦理急振華南振務由杜月笙等代理
page 8	廠聯會主席葉蘭泉談國貨宜分批簽發證書一次過永遠證明書難保無流弊對各廠原料來源尤須嚴格審查
page 10	全澳足球選手來港挑戰東方今午四時半會師香港場
page 10	中華泳場今開放
page 10	昨日加山足球賽六比三南華勝海軍
page 10	宵來籃球戰績鐘聲壓倒警察乙組嶺英華南奏凱
page 10	棒球聯賽中華今對美艦南華與香港會之戰改期八比四友啤隊昨勝西洋
page 11	一晉冀察邊區的成長過程
page 11	二政治
page 11	三軍事
page 11	四民眾運動
page 11	五經濟金融
page 11	七文化教育
page 11	改善人民生活
page 11	華興銀行偽券滬江海關拒絕收受銀錢兩業決亦不予接受日偽破壞金融顯又失敗
page 11	限制貿易藉圖支持
page 11	外匯來源無從懸揣
page 11	該行資本悉屬法幣
page 11	資本分配日偽各半
page 11	偽幣不能繳納關稅
page 11	樸範抗日遊擊根據地晉冀察邊區的現狀
