page 1	英國擴張軍備與世界各國之態度
page 8	春季賽馬第四日婦女手袋賽威路麗夫獲冠軍科士領手袋時掌聲雷動寶地豪墮馬右臂受重傷
page 10	市政衛生局飭小販轉換新牌
page 10	廠聯會十項問題今日送達西商會
page 10	本港畫人參加全國美展會
page 10	國際婦孺救濟會星　五日開籌備會議
page 10	考驗警員救傷術
page 10	英艦必域號抵港
page 10	四邑商工總局今日歡迎新仝人
page 10	澳商會選新職員
page 10	四邑輪船營業轉佳
page 10	展期收寄航空郵件
page 10	衛生醫官時症週報
page 10	去週車輛失事統計
page 10	雅麗氏院捐款報告
page 10	新運之理論與實際陳其尢定期在港大演講
page 11	台山大亨鄉發生謀財害命案
page 11	新會著匪夥劫南山鄉警隊赴援卒因彈盡而返被劫財物約值二千餘元
page 11	民族渡死者遺物移交江門明善堂
page 11	訂定各縣新組織與行政經費之預算裁局後改設四科
page 11	組織新規定
page 11	陸豐縣府整頓附城痳瘋寮
page 11	分區收買白銀近訊
page 11	土地處已開始辦公
page 11	縣府解釋抽款辦學
page 11	標封抗繳舊糧族祠
page 11	九江人請複評田價
page 11	各區煙民登記數量
page 11	江門銅圓跌價原因
page 11	脈歷洲焚戲棚續訊
page 11	煙犯開始執行墨刑
page 11	各縣公路車商聯合呈請減征營稅
page 14	苗族代表高玉柱賦詩答謝各界
page 14	日本陸相更迭經過及其影響內閣與陸軍聯絡較密切
page 15	六德蘇實力的對比與日本
page 15	希特勒征服蘇聯計劃三
